lan_code,sentence
rus,"Может, для него это будет то же самое."
rus,Невинность - это прекрасная штука.
rus,Люди не могут жить вечно.
rus,"Я не хочу менять свои взгляды, даже если они несколько экстремальны."
rus,"Думаю, у меня есть теория на этот счёт."
rus,Это интересно.
rus,"Ты хочешь сказать, что намеренно скрываешь свою красоту?"
rus,У меня нет учетной записи на этих форумах.
rus,"Если кто-либо спросит, в чем суть истории, я действительно не знаю."
rus,"Я не знал, откуда это пришло."
rus,"Я думаю, наше совместное проживание повлияло на твой стиль жизни."
rus,Это не важно.
rus,Мне это не нравилось.
rus,"Она спрашивает, как это возможно."
rus,Ты просто убегаешь от жизненных проблем.
rus,"Если взглянуть на текст песни, ясно, что он на самом деле ничего не значит."
rus,"Есть проблема, которую ты не понимаешь."
rus,Ты можешь сделать это!
rus,"Моему учителю физики все равно, пропущу ли я занятия."
rus,Я хотела бы иметь возможность поехать в Японию.
rus,Я не люблю толпу.
rus,Мне нужно идти спать.
rus,"Потом я ушел оттуда, но понял, что забыл сумку."
rus,Я не буду вас сегодня больше ни о чем спрашивать.
rus,На следующей неделе могут быть заморозки.
rus,"Несмотря на то, что он извинился, я все ещё в бешенстве."
rus,Полиция вас заставит найти пули.
rus,"Спасибо за то, что наконец объяснили, почему люди принимают меня за идиота."
rus,Это не было моим намерением.
rus,Спасибо за объяснение.
rus,"Теоретически, я занимаюсь математикой."
rus,Что случилось?
rus,"Если вы не знали меня с этой стороны, то вы вообще меня не знали."
rus,"Я испытываю страх, если не вижу тебя в онлайне в течение всего дня."
rus,"Я не понимаю, что ты имеешь в виду."
rus,Мой компьютер кое на что годится.
rus,Ты хотел мне рассказать о свободе?
rus,"Хм, теперь это действительно странно..."
rus,"Если бы я хотел напугать тебя, я бы рассказал тебе, что мне снилось несколько недель назад."
rus,Нельзя ожидать всего от школы.
rus,"Есть много слов, которые я не понимаю."
rus,"Я не люблю, когда математики, знающие намного больше меня, не могут ясно выражать свои мысли."
rus,Ты действительно не глуп.
rus,Мне нужно задать тебе глупый вопрос.
rus,"Я не знаю, как показать это, поскольку это и так вполне ясно."
rus,"Мне не хотелось бы думать, что однажды мне придется искать слово ""виагра"" в Википедии."
rus,Можно сформулировать это по-другому?
rus,Никто не узнает.
rus,"Я нашел решение, но я нашел его настолько быстро, что оно определенно не может быть верным."
rus,Мне это кажется интересным!
rus,"За исключением этого места, все не так просто."
rus,Я люблю свет свечей.
rus,Что ты ответил?
rus,"Нет, это не мой новый бойфренд."
rus,"Жаль, что мне не нужно сбрасывать вес."
rus,У тебя вообще не бывает занятий или что?
rus,"Тогда я поразгадываю судоку, вместо того чтобы беспокоить тебя."
rus,В чем проблема?
rus,Я могу только ждать.
rus,"Это совсем не удивительно, не так ли?"
rus,Я люблю тебя!
rus,Ты мне больше не нравишься.
rus,Я любопытный.
rus,Мои поздравления.
rus,Я не хочу ждать так долго.
rus,Почему ты не придешь навестить нас?
rus,Но вероятность невелика.
rus,"Я уже не знаю, что делать."
rus,"Когда-нибудь я обязательно поеду во Францию, просто пока не знаю когда."
rus,Я ненавижу химию.
rus,"Я не хотел, чтобы это случилось."
rus,"Ты, наверно, догадываешься, что случится."
rus,Какие у меня есть еще варианты?
rus,Во мне нет тяги к путешествиям.
rus,Не могу сделать ничего лучше.
rus,Даже объяснить не могу.
rus,У каждого есть сильные и слабые стороны.
rus,На самом деле я смеялся до слёз над эпизодом 21.
rus,"Это лишь показывает, что ты не робот."
rus,Как я могу быть роботом? Роботы не мечтают.
rus,"Я никогда не задумывался об этом, - сказал старик. - ""Что же нам делать?"""
rus,"Это не то, что может сделать каждый."
rus,"Я не знаю, есть ли все еще у меня это."
rus,"Что ты думаешь, я делал?"
rus,Не недооценивай мои силы.
rus,Моя мама говорит по-английски недостаточно хорошо.
rus,Я не говорю по-французски настолько хорошо.
rus,"Я гадал, появишься ли ты сегодня."
rus,В этом и заключается проблема.
rus,Как ты найдешь еду в космосе?
rus,"Тебе ничего не остаётся, кроме того, как довериться кому-либо."
rus,"Все хотят встретиться с вами, вы знаменитость!"
rus,"Зачем ты сожалеешь о том, чего не сделал?"
rus,Я терпеть не могу формальный стиль письма!
rus,Иностранцы занятны.
rus,"Что бы я ни сделал, она говорит, что я мог бы сделать это лучше."
rus,Почему ты ещё не спишь так поздно?
rus,"Ты сам удивишься, сколько можно выучить за неделю."
rus,"У меня нет никого, кто бы со мной поехал."
rus,Ты недостаточно быстр.
rus,Выносить что-либо может быть невыносимо.
rus,Одна лишь правда красива.
rus,Завтра он прилунится.
rus,Я не говорю по-японски.
rus,Это игра слов.
rus,Никто меня не понимает.
rus,Я научился жить без неё.
rus,Дальше размышлять не имеет смысла.
rus,Я просто хотел проверить почтовый ящик.
rus,"Это займёт у меня слишком много времени, чтобы объяснить, почему это не будет работать."
rus,Не может быть!
rus,"Пожалуйста, не плачь."
rus,«Я люблю играть в карты». — «Я тоже».
rus,"Единственные полезные ответы - те, которые поднимают новые вопросы."
rus,Сомневаться в себе есть первый признак ума.
rus,Довольно сложно выучить французский за 2—3 года.
rus,"Я думаю, что экзамены портят образование."
rus,Кошка? - спросил пожилой мужчина.
rus,"Всё то, что было изобретено, правильно."
rus,"Изумление, удивление - это первый шаг на пути к постижению."
rus,Нет сомненья: вселенная бесконечна.
rus,"Тем не менее, обратное также верно."
rus,"Мы видим вещи не такими, какие они есть, а такими, каковы мы сами."
rus,Мир - это клетка для безумных.
rus,Меня зовут Джек.
rus,Мне это очень нравится.
rus,Любовь не пропадает даром.
rus,"Жизнь — то, что с тобой случается, пока ты занят другими делами."
rus,Не желать обладать - всё равно что обладать.
rus,По твоей вине я потерял аппетит.
rus,"Математика есть часть науки, которой можно было бы продолжать заниматься, проснувшись утром и поняв, что вселенной больше нет."
rus,"Ты знаешь, как говорят: «что посеешь, то и пожнёшь». Я посеял ветер, а вот и буря."
rus,Это слишком дорого!
rus,Он был бы рад услышать это.
rus,"Прошлое можно только знать, но не изменять. Будущее можно только изменять, но не знать."
rus,Я проголодался!
rus,Реальных видений не бывает.
rus,Всё возможно - было бы желание.
rus,Целое больше суммы его частей.
rus,Возьми книгу и прочитай её!
rus,Он уже мужчина.
rus,Ты прав.
rus,Жизнь прекрасна.
rus,Ты за или против абортов?
rus,Я люблю лазанью.
rus,Я не хочу идти в школу.
rus,"Мнение шокирует лишь тогда, когда это убеждение."
rus,Я потерял вдохновение.
rus,Маленький огонь в лесу может легко распространиться и быстро стать огромным пожаром.
rus,"Жизнь начинается, когда определяешься, чего от неё хочешь."
rus,О чём ты?
rus,Зима — моё любимое время года.
rus,Из какой ты страны?
rus,Доброе утро!
rus,Не важно.
rus,Сделай что-нибудь!
rus,Что ты хочешь делать?
rus,Я сейчас уставший.
rus,"Подумай об этом, пожалуйста."
rus,Ты слишком много думаешь.
rus,Подумай об этом.
rus,Пойди к врачу взять прописанное лекарство!
rus,"Где твой дом? – ""Он вон там""."
rus,Символ «&» ставится вместо «и».
rus,«Кто эта девочка?» — «Это Кейко».
rus,"«Я видел ее пять дней назад», — сказал он."
rus,Во Вселенной есть много галактик.
rus,Она каждое утро принимает душ.
rus,Наш самолёт летел над облаками.
rus,У Майка есть несколько друзей во Флориде.
rus,Город подвергся бомбардировке вражеских самолётов.
rus,Ему не было суждено встретить её ещё раз.
rus,Нет любви без ревности.
rus,"У меня уйдёт слишком много времени на объяснение, почему это не сработает."
rus,"Например, тебе нравится английский?"
rus,Когда Вам будет удобно?
rus,Я прочитал этот рассказ в какой-то книге.
rus,"Ты не знаешь, где мои часы?"
rus,Вы когда-либо летали на воздушном шаре?
rus,Продают ли в этом магазине тетради?
rus,"Я бегу как можно быстрее, чтобы догнать его."
rus,"Дайте, пожалуйста, стакан воды."
rus,"Я видел, как он бежал."
rus,Приближается Рождество.
rus,"Мне не надо было поливать цветы. Как только я закончил, начался дождь."
rus,Я перезвоню тебе позже.
rus,"Человек — это единственное животное, которое может смеяться."
rus,Его знали все в деревне.
rus,Я заказал два гамбургера.
rus,"Ты знаешь, кто она такая?"
rus,Посмотри на тот дым.
rus,В эту сумму включены налоги.
rus,Эта школа была основана в 1650 году.
rus,Я случайно нашёл этот ресторан.
rus,Он спит как младенец.
rus,Эта проблема возникла из-за неправильного понимания друг друга.
rus,Они скажут: «Ага!»
rus,Этот кондиционер потребляет много электричества.
rus,Всё распродано!
rus,Я не хотел никого обидеть.
rus,Он легко решил эту задачу.
rus,Тебе следует учитывать его возраст.
rus,Этот сад лучше всего выглядит весной.
rus,Этот сыр изготовлен из овечьего молока.
rus,Я не могу позволить себе зря потратить хоть одну иену.
rus,Гора укрыта снегом.
rus,Не вини в этом её.
rus,"Пожалуйста, дайте мне ещё один шанс."
rus,Вы знаете столицу Бельгии?
rus,Было очень приятно увидеть тебя снова.
rus,"Есть случаи, когда это правило не выполняется."
rus,Она бросила курить.
rus,Фильм взволновал всех зрителей.
rus,"На фотографии у девушки корона не из золота, а из цветов."
rus,Не забывай нас!
rus,Выпало много снега.
rus,Идёт снег.
rus,Может пойти снег.
rus,Дождь перешёл в снег.
rus,У нас в январе идёт снег.
rus,Маюко приснился странный сон.
rus,Рейн течёт между Францией и Германией.
rus,Ирландия известна своим кружевом.
rus,«Трасянка» будет приравнена к белорусскому языку во время переписи.
rus,Добро пожаловать в Японию.
rus,Его родная страна — Грузия.
rus,"У маленького Мартина было достаточно тихое детство в Атланте, штат Джорджия."
rus,"Забронируйте, пожалуйста, комнату возле международного аэропорта в Торонто."
rus,Я буду тут до десяти.
rus,Майку нравится играть в баскетбол.
rus,Танабата празднуется в июле.
rus,Она не боится ничего.
rus,У Дика произошла автомобильная авария.
rus,Я Сьюзан Грин.
rus,Билл старше меня на два года.
rus,Том пошёл через дорогу.
rus,Вот мы здесь.
rus,Боб — мой друг.
rus,Г-н Ванг из Китая.
rus,В этом доме 6 комнат.
rus,Я не понимаю.
rus,Хороший вопрос.
rus,Мне нравятся музыка и английский язык.
rus,"Ему нравится и спорт, и учёба."
rus,Мне нравится короткая стрижка.
rus,Распространяйте эсперанто!
rus,"На посулы тароват, а на деле скуповат."
rus,Войдите!
rus,Добро пожаловать!
rus,"Я очень устал, хочу лечь пораньше."
rus,Поторапливайся!
rus,Наконец-то мы встретились! Я так долго ждал этого дня!
rus,Вы должны заботиться о своей больной матери.
rus,Он странствовал по Европе несколько месяцев.
rus,Стиральная машина - замечательное изобретение.
rus,"Мэри выглядит не очень дружественно, но у нее доброе сердце."
rus,"Женщина, что сидит на диване, - моя бабушка."
rus,"Проблема требовала больших усилий, чтобы её решить."
rus,"О нём я не знаю ничего, кроме имени."
rus,Я пробуду здесь недолго.
rus,Так вести себя - это на него очень похоже.
rus,Папа купил мне фотоаппарат.
rus,Собака гналась за кошкой.
rus,"Даже если постирать, цвет не полиняет."
rus,Лимоны кислые.
rus,Эксперимент закончился неудачей.
rus,Он никогда не врет.
rus,"Приехав на станцию, я позвонил своему другу."
rus,"В комнате не было ничего, кроме старого стула."
rus,В корзине лежит несколько яблок.
rus,Мои часы были украдены.
rus,"Он ученый, которого все уважают."
rus,"Нет, китайские блюда лучшие."
rus,Куда ты вчера ходил?
rus,"Мне понадобилось 3 дня, чтобы убрать комнату."
rus,Город находится западнее Лондона.
rus,Вам нравятся научно-фантастические фильмы?
rus,"Как только дверь открылась, они убежали."
rus,Он обещал жениться на ней.
rus,Выставка уже открыта.
rus,Дата и адрес обычно пишутся в шапке писем.
rus,У меня сильная зубная боль.
rus,"У него есть ""тойота""."
rus,У Билла есть много друзей.
rus,У автора красивый стиль.
rus,Все цивилизованные страны против войны.
rus,"Если бы не мой совет, ты бы потерпел неудачу."
rus,Это был тихий зимний вечер.
rus,Она была околдована его улыбкой.
rus,Папа купил мне книги.
rus,"Я стал старше, поэтому я стал смотреть на вещи по-другому."
rus,Он решил отложить свой отъезд.
rus,Я не люблю яблоки.
rus,Ты занят в воскресенье после полудня?
rus,Эта гора покрыта снегом круглый год.
rus,"Несмотря на то, что она выросла в Японии, она свободно говорит по-английски."
rus,Холодно.
rus,"Прости меня, пожалуйста."
rus,Я потерял кошелёк.
rus,Я левша.
rus,Я знаю её адрес.
rus,"Что бы он ни делал, он делает это хорошо."
rus,Он старше меня на три года.
rus,Мой отец вернётся в начале следующего месяца.
rus,На французском языке говорят во Франции.
rus,"Перед тем как выйти из дома, не забудьте выключить газ."
rus,Он написал письмо.
rus,"То, что он гений, очевидно всем."
rus,Она родила хорошенькую девочку на прошлой неделе.
rus,У меня врождённые способности к математике.
rus,С детства я мечтал стать кондитером.
rus,Он любит рыбалку.
rus,"Как только он остался один, он сразу вскрыл письмо."
rus,Вы говорите по-французски?
rus,Он унаследовал бизнес от отца.
rus,"Они не искупались, потому что было холодно."
rus,Обе сестры очень красивые.
rus,Она всегда к нему придирается.
rus,"Ты должен извиниться перед ней за то, что был невежлив."
rus,Он снял шляпу.
rus,Они поздравили его с женитьбой.
rus,Земля примерно в 6 раз больше Луны.
rus,Он починил мне часы.
rus,"Должно быть, ему за 60."
rus,Он намного старше её.
rus,Этот шум действует мне на нервы.
rus,Успеет ли он на поезд?
rus,"Он рисковал жизнью, чтобы спасти её."
rus,Лидер партии - известный учёный.
rus,Он сдержал крик боли.
rus,"В этой стране среднее количество детей в семье сократилось с 2 до 1,5."
rus,Они женаты 4 года.
rus,Матч отменили из-за дождя.
rus,"Если бы было немного теплее, мы могли бы выпить чаю в саду."
rus,У него раздвоение личности.
rus,Она завидует моему успеху.
rus,Меня это не касается.
rus,Младенец перестал плакать.
rus,"Как ты думаешь, что она собирается делать?"
rus,"Принимайте побольше аскорбиновой кислоты, чтобы не простудиться."
rus,В следующем году я должен сдавать вступительные экзамены.
rus,Они отложили свой отъезд из-за сильного снегопада.
rus,Лёд растаял.
rus,"Она хвастается, что хорошо готовит."
rus,Я больше не ношу очки.
rus,"У девушки на картине на голове венок из живых цветов, а не золотая корона."
rus,Ты уже определился с темой диплома?
rus,Никто не опоздал.
rus,Я бросил курить.
rus,Эта книга хорошо продавалась в Японии.
rus,"Спокойной ночи, мама."
rus,Как называется эта улица?
rus,Кошка пьёт молоко.
rus,Это мнение дилетанта.
rus,Юридическая терминология непонятна для большинства непрофессионалов.
rus,Её дочь сбежала с молодым писателем.
rus,Я не могу больше терпеть.
rus,Мне не нравится ни одна из этих картин.
rus,Свеча сама погасла.
rus,По-японски мне говорить легко.
rus,Вы говорите по-японски?
rus,"Много иностранцев приедут в Японию, чтобы изучать японский язык."
rus,Я хорошо говорю по-японски.
rus,Вам лучше уйти.
rus,Сейчас вам лучше уйти.
rus,Буду стараться каждый день делать физические упражнения.
rus,Я вчера помог отцу.
rus,Я вчера видел удивительный сон.
rus,Вчера я был болен.
rus,Я вчера прочитал очень интересный рассказ.
rus,Вчера я проходил мимо её дома.
rus,Я ему заплатил на прошлой неделе.
rus,"Если он придёт, скажите, чтобы подождал меня."
rus,Мой отец высокий.
rus,Едите ли вы рис в вашей стране?
rus,"«Ничего, если я пойду с вами?» — «Конечно!»"
rus,Каждое утро они просыпаются в 6 часов.
rus,Тот новый магазин откроется на следующей неделе.
rus,Она должна заботиться о том пожилом человеке.
rus,"Я не знаю, что это."
rus,"Когда я тебя вижу, я всегда вспоминаю о Кене."
rus,Я вегетарианец.
rus,Девушка стояла перед аудиторией.
rus,Я был один в аудитории.
rus,Как тебя зовут?
rus,"Пожалуйста, скажи мне своё имя."
rus,Меня зовут Танака Ичиро.
rus,"Я забыл, как его зовут."
rus,У него странное имя.
rus,Как его зовут?
rus,Моя фамилия — Ямада.
rus,Как Вас зовут?
rus,"Меня зовут Тамако, а тебя?"
rus,"Меня зовут Кирилл, рад познакомиться."
rus,Все судьбы собрались в моем красном мире.
rus,Корзина была наполнена клубникой доверху.
rus,Ты нужен мне.
rus,Ты - прекраснейший цветок в моей жизни.
rus,"Среди дурманящих цветов, куда действительность ушла?"
rus,Сердце бьется все чаще с расцветом любви.
rus,Неосторожность - злейший враг.
rus,Любое мастерство поможет в жизни.
rus,"Где правит грубая сила, оттуда уходит разум."
rus,Нелюбимые дети прочней стоят на ногах.
rus,Любовь слепа.
rus,"Дождь проходит, и земля еще больше твердеет."
rus,Один камень — две бабочки.
rus,"Воспитанность важнее, чем знатный род."
rus,"Стены имеют уши, а сёдзи - глаза."
rus,"Не откладывай на завтра то, что можно сделать сегодня."
rus,Нет лекарства от болезни любви.
rus,"Невозможно поймать тигрёнка, не войдя в логово тигра."
rus,Десять человек - десять вкусов.
rus,Ад и Рай существуют лишь в сердцах людей.
rus,"Всё, что существует на свете, — только сон."
rus,Ад тоже жилое место.
rus,Демон сердца истязает тело.
rus,На дороге смерти не бывает королей.
rus,Женским волосом можно привязать даже большого слона.
rus,У красивого цветка шипы растут.
rus,Дитя змеи — змея.
rus,"Когда говорят о будущем, черти смеются."
rus,"Когда пьешь сакэ, становишься откровенным."
rus,"Жизнь прожить трудно, а умереть легко."
rus,Красивые цветы хороших плодов не приносят.
rus,Мужчина и в сорок и в пятьдесят лет все ещё мальчик.
rus,Не все люди - злые черти.
rus,В каком году вы родились?
rus,Угощайся чем угодно.
rus,Я тебя больше не люблю.
rus,Его теория заслуживает рассмотрения.
rus,"Его женили рано, когда он был ещё студентом второго курса, и теперь его жена казалась в полтора раза старше его."
rus,"И вот однажды, под вечер, он обедал в саду, а дама в берете подходила не спеша, чтобы занять соседний стол."
rus,"« Если она здесь без мужа и без знакомых, — соображал Гуров, — то было бы не лишнее познакомиться с ней »."
rus,"Потом у себя в номере он думал о ней, о том что завтра она, наверное, встретится с ним."
rus,Прошла неделя после знакомства.
rus,Тогда он пристально поглядел на неё и вдруг обнял её и поцеловал в губы.
rus,"Потом, когда они вышли, на набережной не было ни души, город со своими кипарисами имел совсем мёртвый вид, но море ещё шумело и билось о берег."
rus,На столе в номере был арбуз.
rus,"Потом каждый полдень они встречались на набережной, завтракали вместе, обедали, гуляли, восхищались морем."
rus,Да. Пора домой.
rus,"Это хорошо, что я уезжаю, — говорила она Гурову. — Это сама судьба."
rus,"Если б вы знали, с какой очаровательной женщиной я познакомился в Ялте!"
rus,"Он сидел на постели, покрытой дешёвым серым, точно больничным, одеялом."
rus,"Вы должны уехать… — продолжала Анна Сергеевна шёпотом. — Слышите, Дмитрий Дмитрич?"
rus,"Возможно ли, чтобы слух был обоснован?"
rus,"Странно, что ты ничего не знаешь на этот счёт."
rus,У меня ужасно болит голова!
rus,Скоро весна.
rus,Скоро наступит весна.
rus,Я часто вспоминаю своё счастливое детство.
rus,Я скоро вернусь.
rus,Я пять лет изучал английский язык.
rus,Наша команда выиграла партию.
rus,Я встретил твоего друга.
rus,Он мне пишет раз в неделю.
rus,"Я спросил у него, как его зовут."
rus,Ты наконец написал своё домашнее задание?
rus,Он живёт на квартире.
rus,Ему играть не с кем.
rus,Он прервал наш разговор.
rus,"Я не люблю, когда ты гуляешь одна."
rus,"Интересно, где ж он спрятался?"
rus,С нетерпением жду от вас новости.
rus,Автобус занесло снегом.
rus,Я забронировал место.
rus,Я люблю ходить в кино.
rus,Мне хотелось убежать.
rus,Я больше не могу!
rus,Ничего себе!
rus,Мне надо написать письмо.
rus,Она вдруг рассердилась.
rus,Я так и знал.
rus,Он был ранен на войне.
rus,Она обожает играть в теннис.
rus,Становится всё жарче и жарче.
rus,Этот певец нравится многим девушкам.
rus,К вечеру может пойти снег.
rus,Я проверяю слова в своём словаре.
rus,Он превосходно играет на фортепиано.
rus,"Каждый раз, когда я смотрю на эту фотографию, я вспоминаю счастливые дни деревенской жизни."
rus,"Смотри на меня, когда я с тобой разговариваю!"
rus,Мне надо будет об этом подумать.
rus,"Услышав новость, она зарыдала."
rus,Твои часы лежат на рабочем столе.
rus,Я бы хотел поехать в Лондон.
rus,Он будет дома чуть раньше пяти.
rus,Свет сам выключился.
rus,Я бы хотел поехать во Францию.
rus,"Мне чай с лимоном, пожалуйста."
rus,"Услыхав свое имя, помесь такса с дворняжкой вышла из-под верстака, где она спала на стружках, сладко потянулась и побежала за хозяином."
rus,"Каштанка бегала взад и вперёд и не находила хозяина, а между тем становилось темно."
rus,Но она ни о чём не думала и только плакала.
rus,Ничего себе фотография!
rus,Джим пошёл ловить рыбу на молу.
rus,Дядя дал мне книгу.
rus,Ты не хочешь поехать со мной?
rus,Всему своё время.
rus,Он очень похож на своего отца.
rus,Чья очередь?
rus,Ты сейчас занят?
rus,Я хотел бы остановиться на одну ночь.
rus,Ты можешь выбрать чего хочешь.
rus,У меня высокая температура.
rus,Мы сильно скучаем по тебе.
rus,"Выключай свет, пожалуйста."
rus,Я встаю в шесть часов почти каждый день.
rus,Я родился 4-го июля 1974-го года.
rus,"Я знаю, что он любит джаз."
rus,Спасибо!
rus,Он заказал пиво.
rus,Я доволен своей работой.
rus,Она была красивой в своё время.
rus,"Он уверен, что придёт."
rus,Я Вам счёт сейчас принесу.
rus,Он стал милиционером.
rus,Она не хочет говорить об этом.
rus,Он чувствовал себя очень одиноким.
rus,Он только что пришёл.
rus,Урок начался в назначенный час.
rus,Он живёт в деревне.
rus,"Мне, пожалуйста, чашку кофе."
rus,Он ударил меня по голове.
rus,"Мне рыбу, пожалуйста."
rus,"Он хотел было выехать со мной к тебе навстречу, да почему-то раздумал."
rus,"Пожалуйста, папаша, приласкай его. Я не могу тебе выразить, до какой степени я дорожу его дружбой."
rus,Ты недавно с ним познакомился?
rus,Отец у меня золотой человек.
rus,"— На что тебе лягушки, Барин? — Спросил его один из мальчиков."
rus,Ему нельзя доверять.
rus,Хорошая идея!
rus,Кому какао?
rus,Я хочу сам завершить работу.
rus,Я буду учиться.
rus,Я выключил радио.
rus,Это что за глупость?
rus,Погода стояла прекрасная.
rus,Вчера моя сестра поехала в Кобе.
rus,Он вчера умер.
rus,Я вчера купил книгу.
rus,Вчера было жарко.
rus,Вчера было холодно.
rus,Вчера он играл в теннис.
rus,Я ему вчера помог.
rus,Я вчера туда пошел.
rus,Я сюда вчера пришел.
rus,Сегодня жарко.
rus,Вчера был четверг.
rus,Не стало Майкла Джексона.
rus,"Ещё утром, на вокзале, ему бросилась в глаза афиша с очень крупными буквами."
rus,"Папа, а почему зимой не бывает грома?"
rus,"Он снял шубу внизу, поднялся наверх и тихо постучал в дверь."
rus,И Анна Сергеевна стала приезжать к нему в Москву.
rus,"Он был вдов, но через год после свадьбы сына не выдержал и сам женился."
rus,"— Тут мамаша взяли две осьмушки чаю,— сообщил он потом отцу.— Куда это записать?"
rus,"И на другой день глухой, пробегая через двор, крикнул ей: — Вы, мамаша, ежели что нужно,— берите!"
rus,"Мне, Николай Алексеевич, нужно серьёзно поговорить с вами."
rus,"В бричке сидел господин, не красавец, но и не дурной наружности, ни слишком толст, ни слишком тонок; нельзя сказать чтоб стар, однако ж и не так, чтобы слишком молод."
