"language","text"
"Russian","Я в изнеможении оторвала трубку от уха, недоумевая, откуда взялось это миссионерское, багажно-рождественно-подарочное рвение."
"Russian","Когда я опять приложила трубку к уху, она щебетала:"
"Russian","А как насчет продуктовой сумки на колесиках?"
"Russian","Теперь, деточка, - внезапно зашипела она, - ты ведь приедешь в этом году к Джеффри и Уне на новогодний фуршет с Карри из Индюшки, правда?"
"Russian","Вообще-то...- Я дико запаниковала."
"Russian","Как бы половчее соврать?"
"Russian","Ты сможешь подъехать после работы."
"Russian","Кстати, я тебе говорила?"
"Russian","Малком и Илейн Дарси тоже приедут и привезут с собой Марка."
"Russian","Ты помнишь Марка, деточка?"
"Russian","Один из этих супер-дорогих адвокатов."
"Russian","Денег - куры не клюют."
"Russian","Раньше восьми мы все равно не начнем."
"Russian","Неужели она подыскала мне еще одного нетрадиционно-одетого любителя оперы с пышной шевелюрой на прямой пробор?"
"Russian","Не надо меня ни с кем сводить..."
"Russian","Уна и Джеффри устраивают Новогодний фуршет аж с тех пор, как ты голенькая носилась по их газону!"
"Russian","Разумеется, ты приедешь."
"Russian","И как раз воспользуешься своим новым чемоданом."
"Russian","Первый день Нового Года был днем ужасов."
"Russian","Просто не верится, что вновь начинаю год в односпальной кровати, в отчем доме."
"Russian","В моем возрасте это слишком унизительно."
"Russian","Интересно, почуют ли они, если я покурю в окошко?"
"Russian","Весь день проторчала дома, надеясь, что похмелье рассеется, но в конце-концов плюнула на все, собралась и с большим опозданием отправилась на фуршет с Карри из Индюшки."
"Russian","Когда я добралась до дома Алконберри и позвонила в их звонок, проверещавший гимн городских курантов от начала до конца, я все еще находилась в своем собственном, странном мире - меня подташнивало, голова раскалывалась, а во рту было кисло."
"Russian","Кроме того, я не вполне оправилась от охватившего меня в машине бешенства, когда вместо первой магистрали, выехала на шестую и была вынуждена переть аж до самого Бирмингема, где мне, наконец, удалось развернуться."
"Russian","Я так разозлилась, что чуть не расплющила педаль акселератора, без конца поддавая газку - а ведь это очень опасно."
"Russian","Теперь я обреченно наблюдала, как на меня обрушивается фигура Уны Альконберри в костюме-двойке цвета фуксии - на мгновение она была интригующе деформированна волнистой стеклянной дверью."
"Russian","А мы тебя уж и ждать перестали!"
"Russian","С Новым годом!"
"Russian","Чуть без тебя не начали!"
"Russian","Я пошатнулась и поспешила облокотиться на разрисованную полку за своей спиной, а она тем временем ухитрилась одним движением и поцеловать меня, и помочь мне снять пальто, и"
"Russian","перевесить его через перила, и стереть след губной помады с моей щеки, и мгновенно заставить меня почувствовать себя ужасно виноватой."
"Russian","Что нам с тобой делать?"
"Russian","Она провела меня через матовые стеклянные двери в гостинную и провозгласила:"
"Russian","С Новым Годом!"
"Russian","облаченный в желтый свитер с ромбами."
"Russian","Протанцевав ко мне, а-ля"
"Russian","Боб Хоуп5, он обнял меня с пылом, за который, находись мы в общественном месте, легко мог очутиться за решеткой."
"Russian","перекрестка ты выехала?"
"Russian","Уна, она выехала с девятнадцатого!"
"Russian","добавила себе лишний час езды."
"Russian","Ну, а как твоя личная жизнь?"
"Russian","Ну, почему женатые люди никак не поймут, что этот вопрос в наше время просто невежливо задавать?"
"Russian","Мы же не бросаемся к ним и не орем: ""Ну и как ваша семейная жизнь?"
"Russian","Все еще занимаетесь сексом?"""
"Russian","Все знают, что ходить на свидания, когда вам за тридцать, уже не так легко и просто, как в двадцати-двухлетнем возрасте и что честным ответом будет не небрежое: ""Спасибо, великолепно"", а приблизительно вот что: ""Вообще-то, вчера вечером мой женатый любовник явился ко мне в подтяжках и в очаровательном ангорском полусвитере и объявив, что он гомик, (или сексуальный маньяк, или наркоман, или социальный импотент), избил меня суррогатом пениса""."
"Russian","Однако, не будучи прирожденной лгуньей, я в конце-концов промямлила:"
"Russian","Ну, что нам с тобой делать!"
"Russian","Я прям не знаю!"
"Russian","Нельзя же это вечно откладывать."
"Russian","Время бежит: тик-так, тик-так."
"Russian","Как вообще может женщина дожить до твоих лет и не"
"Russian","К счастью, меня спас папа."
"Russian","Они были готовы прочесать все графство зубными щетками в поисках твоих расчлененных останков."
"Russian","Иди, продемонстрируй себя, чтобы я, наконец, мог расслабиться."
"Russian","Кстати, как тебе чемодан на колесиках?"
"Russian","А как тебе ножницы для волос в ушах?"
"Russian","Кажется, все шло неплохо."
"Russian","Было бы неудобно, если б я не приехала, но Марк Дарси... Тьфу."
"Russian","Вот уже несколько недель подряд, стоило маме позвонить мне, как она заводила одну и ту же песню: ""Ты, конечно, помнишь семью Дарси, деточка?"
"Russian","Они приехали, когда мы жили в Бекингхеме и вы с Марком игрались в надувном бассейне!"""
"Russian","или же ""О!"
"Russian","Я говорила тебе, Малком и Илейн привезут с собой Марка к Уне на новогодний фуршет с Карри из Индюшки?"
"Russian","Оказывается, он только что вернулся из Америки."
"Russian","Сейчас подыскивает дом около Холланд-Парка."
"Russian","Говорят, с женой ему пришлось не сладко."
"Russian","Это очень жестокая расса""."
"Russian","Потом в другой раз, ни с того ни с сего: ""Ты помнишь Марка Дарси, деточка?"
"Russian","Сын Малколма и Илейн?"
"Russian","Один из этих шикарных, дорогих адвокатов."
"Russian","Илейн говорит, он все время работает и ужасно одинок."
"Russian","Я думаю, он приедет к Уне на новогодний фуршет с Карри из Индюшки."""
"Russian","Я не знаю, лучше бы она просто попросила: ""Деточка, после того как поешь Карри из Индюшки, обязательно переспи с Марком Дарси, ладно?"
"Russian","Он очень богат""."
"Russian","Когда вас насильно сводят с мужчиной - это довольно унизительно, но когда Уна Алконберри вас буквально тащит к нему, а вы еле справляетесь с изжогой от похмелья и за вами наблюдает целая толпа друзей ваших родителей - тогда это унижение гораздо более высокого уровня."
"Russian","Богатый, довольно высокий, избавленный-от-жестокой-жены Марк стоял, повернувшись к обществу спиной и сосредоточенно изучал содержание Алконберриевых книжных полок - в основном это были многотомные издания истории Третьего Рейха в кожанных переплетах, которые Джеффри выписывал через ""Ридерс Дайджест""."
"Russian","Это меня весьма позабавило: называться мистером Дарси и стоять на вечеринке в гордом одиночестве, всем своим видом выражая презрение."
"Russian","Все равно, что называться Хитклифом и из-за этого торчать весь вечер в саду, взывать к ""Кэти"" и биться головой об дерево.6"
"Russian","Он повернулся к нам лицом и его свитер, со спины - темно-синий и вполне безобидный, спереди оказался усыпанным желтыми и голубыми ромбами - таким обычно отдают предпочтение наши наиболее пожилые спортивные комментаторы."
"Russian","Как часто замечает мой друг Том, удивительно сколько времени и денег можно сэкономить, обращая больше внимания на особенности туалета тех, к кому мы идем на свидание."
"Russian","Тут белый носок, там красные зубные зацепки, или серые шлепанцы, или свастика - и сразу становится ясно, что не стоит обмениваться номерами телефонов или раскошеливаться на дорогие завтраки, поскольку все равно, ничего из этого не выйдет."
"Russian","Ой, ради Бога!"
"Russian","Я лихорадочно рылась в памяти, припоминая, когда я в последний раз читала приличную книгу."
"Russian","Беда в том, что работать в издательстве, а потом еще читать в свободное время - это то же самое что, весь день работать уборщицей, а по вечерам рыться по помойкам."
"Russian","Я наполовину одолела одолженную у Джуд ""Мужчины с Марса, Женщины с Венеры"", но мне как-то не верилось, что Марк Дарси, хоть и с явными странностями, был бы враз готов признать себя марсиянином."
"Russian","И тут меня осенило."
"Russian","Ну, на самом деле я ее не читала, но можно сказать, что читала, т.к."
"Russian","Шерон не перестает ее проповедовать."
"Russian","В любом случае, абсолютно надежный ход, ведь наверняка этот ботан в свитере с ромбами ни разу в жизни не слыхал об этом пятисотстраничном феминистском трактате."
"Russian","Вы не находите, что большинство фактов в ней подобрано черезчур претенциозно?"
"Russian","Я была на вечеринке в Лондоне."
"Russian","Вообщем, сейчас слегка с похмелья, - нервно тараторила я, лишь бы Уна и мама не сочли меня до того безнадежной с мужчинами, что я не в состоянии побеседовать даже с Марком Дарси."
"Russian","Этот день - продолжение новогодней ночи, так что курильщики уже вовсю курят - не могут же они взять и разом бросить, как только часы пробъют полночь, ведь в их организме уже столько никотина."
"Russian","Кстати, садиться на диету в первый день Нового Года тоже неправильно, ведь мы в этот день толком не едим, просто жуем все подряд, чтобы опохмелиться."
"Russian","По-моему, резолюции стоит считать действительными где-то со второго января."
"Russian","Мужчинам с ней противно""."
"Russian","Но хуже всего было Унино и мамино нежелание мириться с таким положением вещей."
"Russian","Они заставляли меня обходить гостей с закусками и бокалами густого шерри и тщетно пытались вновь столкнуть меня с Марком Дарси."
"Russian","В конце концов они до того измотались и издергались, что стоило мне, с подносом в руках, очутиться в четырех футах от него, как Уна, прыгнула к нам через всю комнату, совсем как Уилл Карлинг7, и заорала:"
"Russian","Я густо покраснела - я ничего не могла с собой поделать."
"Russian","Я чувствовала, как у меня краснеет шея и как краска поднимается все выше и выше."
"Russian","Теперь Марк будет думать, это я ее подговорила."
"Russian","Не то чтобы я действительно намеревалась дать ему свой номер, но мне не понравилось, как он выставил напоказ свое нежелание брать его."
"Russian","Взглянув вниз, я заметила, что на нем были белые носки с желтыми пчелками."
"Russian","Может, фаршированную оливку?"
"Russian","Под конец вечера я заметила, как его мать и Уна загнали его в угол и принялись в чем-то горячо убеждать."
"Russian","Потом они под конвоем привели его ко мне, и встав за его спиной, слушали, как он натянуто предлагал:"
"Russian","Я остаюсь здесь, но моя машина отвезет вас."
"Russian","У Марка есть служебная машина и шофер, - засмеялась Уна."
"Russian","Даже мужчина в носках с пчелками считает меня некрасивой."
"Russian","Ненавижу Новый Год."
"Russian","Кроме Даниела Кливера."
"Russian","Ладно, у меня на комоде лежит огромная, с поднос плитка молочного шоколада ""Кэдбери"" - она еще с Рождества осталась, а также смешная миниатюрная бутылочка джин и тоника."
"Russian","Сейчас слопаю их, а потом подымлю."
"Russian","Вторник, 3 Января"
"Russian","В голове не укладывается, что надо идти на работу."
"Russian","Одно только терпимо - опять увижусь с Даниелом, но и это не рекомендуется, т.к."
"Russian","я толстая, с угрем на подбородке, и с удовольствием просидела бы весь день на диване, обжираясь шоколадом и балдея от новогодних передач."
"Russian","По-моему, неправильно это и несправедливо, что изматывающая и с трудом преодолеваемая в финансовом и эмоциональном плане рождественская пора сперва обрушивается на человека целиком и полностью вопреки его желаниям, а стоит к ней привыкнуть - грубо обрывается."
"Russian","Я уже начинала получать удовольствие от того что все закрыто, никто не работает и можно валяться в постели сколько влезет, жрать все, что угодно и напропалую пьянствовать, даже по утрам."
"Russian","А теперь вдруг мы все, словно поджарые юные борзые, обязаны переключиться на жесткую само-дисциплину."
"Russian","Перпетуя, слегка выше меня по стажу и воображающая себя моей начальницей, сегодня здорово раскомандовалась и развернулась в полном блеске своей мерзопакостности, до крайности нудно болтая по телефону о доме, стоимостью в половину миллиона фунтов стерлингов, который она и ее богатый-но-черезчур-родовитый друг Хьюго намереваются приобрести в ближайшем будущем."
"Russian","Я смотрела на нее с тоской."
"Russian","Ее необъятная, шарообразная задница была туго обтянута узкой красной юбкой, а сверху на ней был нелепый короткий полосатый жилет."
"Russian","Повезло же ей родиться с эдаким Слоанским выкосомерием."
"Russian","Перпетуя может растолстеть до размеров микроавтобуса ""Реналт Эспейс"" и ни разу не задуматься об этом."
"Russian","Сколько часов, месяцев, лет потратила я, переживая из-за своего веса?"
"Russian","А Перпетуя тем временем преспокойно приценивалась к лампам с фарфоровыми ножками в виде котят на Фалхэм-Роуд."
"Russian","Увы, она упускает возможность обрести истинное счастье, ибо опросы доказали, что счастье приходит не с любовью, богатством или властью, а в погоне за недостижимыми целями, а что такое диета, как не погоня за недостижимой целью?"
"Russian","По пути домой, в знак протеста по поводу конца Рождества, я купила пакет уцененных шоколадных елочных игрушек и бутылку шипучего, то ли Норвежского, то ли Пакистанского, ну, вообщем, из тех краев вина за 3 фунта 69 центов."
"Russian","Включив ""Истендерс""8 и вообразив, что это новогодняя передача, я слопала купленное под мерцание новогодней елки, впридачу к трем пирожкам с мясом, остаткам рождественского торта и кусочку сыра ""Стилтон""."
"Russian","А теперь мне стыдно и противно."
"Russian","Я прямо чувствую, как жир выпирает из моего тела."
"Russian","Иногда, глубокое погружение в токсическое ожирение просто необходимо, чтобы потом, чистой и прекрасной птицей-феникс вылететь из органической помойки, такой же красивой как Мишель Файфер9."
"Russian","С завтрашнего дня начну здоровый, спартанский режим красоты."
"Russian","А Даниел Кливер все-таки.... Он такой обаятельный и такая шкода, но в то же время и умен, и на хорошем счету."
"Russian","Сегодня он оч."
"Russian","остроумно рассказывал про свою тетю, которая приняла ониксовую скалку - рождественский подарок его матери - за макет пениса."
"Russian","У него действительно оч."
"Russian","Кроме того, он весьма игриво поинтересовался, подарили ли мне что-нибудь хорошенькое на Рождество."
"Russian","Надо будет завтра одеть короткую черную юбку."
"Russian","Среда, 4 Января"
"Russian","Только что со своего мобильника позвонила Джуд, вся в слезах, и еле слышно проблеяла, что минуту назад, будучи на грани истерики, была вынуждена извиниться и прервать заседание директоров, (Джуд - заведующая планового отдела в Брайтлингском банке), и теперь застряла в женском туалете без косметички и с размазанным макияжем, как у ребят в ""Алис Купер""10."
"Russian","Ее приятель, Злой Ричард, (самовлюбленный социальный импотент), с которым она уже около восемнадцати месяцев то сходится, то вновь расходится, кинул ее, после того как она поинтересовалась: не желает ли он вместе с ней съездить в короткий отпуск."
"Russian","Это его типичная реакция, но Джуд, разумеется, винила во всем только себя."
"Russian","Я попросила его о слишком многом, я потакаю своим причудам, а не потребностям."
"Russian","О, если бы я могла повернуть время вспять!"
"Russian","Я тут же позвонила Шерон и мы назначили сходку чрезвычайной важности в 18:30 в кафе ""Руж""."
"Russian","Надеюсь, Перпетуя не начнет брыкаться, если я пораньше смоюсь."
"Russian","Шерон моментально вдарилсь в свою теорию насчет Злого Ричарда: ""Эмоциональное затрахивание мозгов"", которое стремительно, как лесной пожар, распространяется среди тридцатилетних мужчин."
"Russian","Стоит женщине достигнуть тридцатилетнего возраста, говорит Шерон, как силовой баланс потихоньку перераспределяется."
"Russian","Даже наиопытнейшие кокетки начинают терять присущую им самоуверенность и вступают в борьбу с первыми приступами всевечного страха: что умрут в одиночестве и будут найдены лишь спустя три недели, наполовину обглоданные немецкими овчарками."
"Russian","К этому времени Джуд и я уже вовсю шикали на нее и все плотнее кутались в наши пальто."
"Russian","Ведь ничто не отталкивает мужчин сильнее, чем откровенный феминизм."
"Russian","Я вспомнила о Даниеле Кливере и отважилась заметить, что не все мужчины похожи на Злого Ричарда."
"Russian","В ответ Шерон привела целый список вопиющих примеров прогрессирующего эмоционального затрахивания мозгов среди наших друзей: приятель одной ее подруги наотрез отказывался даже обсуждать возможность их сожительства и это после тринадцатилетнего близкого знакомства; другая ее подруга сходила на свидание к мужику четыре раза, после чего он вообразил, что у нее слишком серьезные намерения и тут же кинул ее; третью мужик преследовал целых три месяца, страстно предлагая ей руку и сердце, а через три недели после ее согласия сбежал и вскоре начал аналогичную процедуру, только на этот раз с ее лучшей подругой."
"Russian","Лет через двадцать мужчины не посмеют затрахивать нам мозги, потому что мы, просто-напросто, расхохочемся им в лицо,- рычала Шерон."
"Russian","В этот момент в кафе вошел Алекс Уолкер - он работает с Шерон в одной компании."
"Russian","Его сопровождала сногсшибательная блондинка, раз в восемь привлекательнее него."
"Russian","Он приблизился к нам легкой иноходью - видимо хотел поздороваться."
"Russian","Пожалуй, пора бы и это прекратить, но... ну... - промурлыкал он."
"Russian","Ах, ты, трусливый, неполноценный, маленький говнюк!"
"Russian","Сейчас я сама поговорю с этой женщиной, - заявила Шерон, вскакивая."
"Russian","Джуд и я тут же силой усадили ее на место, а запаниковавший было Алекс поспешно ретировался, дабы беспрепятственно продолжать свое затрахивание мозгов."
"Russian","В конце-концов мы втроем выработали для Джуд стратегию."
"Russian","Она должна прекратить забивать себе голову ""Женщинами, которые слишком сильно любят"" и вместо этого, рассуждать, как в ""Мужчинах с Марса, женщинах с Венеры""."
"Russian","Это поможет ей убедиться, что поведение Ричарда вовсе не значит, что она неспособна стоять на собственных ногах или слишком сильно любит его, а скорее смахивает на марсиянский мячик на резинке, которую чем сильнее натянуть, тем быстрее вернется."
"Russian","Когда Джуд ушла - она встает в 5:45, чтобы до начала работы в 8:30 успеть сходить в спорт-зал и отдать распоряжения своей экономке - Шерон и мне вдруг стало жутко стыдно и мы принялись ругать себя за то, что не посоветовали Джуд просто-напросто порвать со Злым Ричардом, потому что он злой."
"Russian","Хотя, как заметила Шерон, после нашего последнего подобного совета, они опять сошлись и Джуд, во время обмена примирительными исповедями, выболтала ему все, что мы тогда наговорили."
"Russian","И теперь нам жутко неудобно с ним встречаться, а он называет нас Адовыми Королевами Стерв - ошибочное, заявляет Джуд, мнение, т. к., хоть мы и свиделись со своими Внутренними Стервами, с цепи мы их еще не спустили."
"Russian","Четверг, 5 Января"
"Russian","Даниел Кливер только что прислал мне электронное письмо."
"Russian","Я как раз подправляла свое профессиональное реноме, (делаю необходимые шаги для улучшения карьеры), стараясь чтобы Перпетуя не заметила чем занимаюсь и вдруг на моем экране засияла надпись: Новое Письмо."
"Russian","Обрадовавшись, как обычно радуюсь всему, что не относиться к работе - я быстро открыла письмо и чуть не упала в обморок, когда заметила под ним подпись: Клив."
"Russian","Сперва я подумала, он сумел подключиться к моему компьютеру и увидел, что я не работаю, а валяю дурака."
"Russian","Но потом я прочла письмо:"
"Russian","ПИСЬМО К ДЖОНС"
"Russian","КАЖЕТСЯ, ВЫ ЗАБЫЛИ ДОМА ЮБКУ."
"Russian","ПО-МОЕМУ В ВАШЕМ КОНТРАКТЕ ЧЕРНЫМ ПО БЕЛОМУ УКАЗАНО, ЧТО ВСЕ СЛУЖАЩИЕ ОБЯЗАНЫ БЫТЬ ПОЛНОСТЬЮ ОДЕТЫ В РАБОЧЕЕ ВРЕМЯ."
"Russian","Я немножко подумала, делая при этом вид, будто читаю невероятно занудную рукопись какого-то лунатика."
"Russian","Никогда раньше не переписывалась с Даниелом Кливером, но электронная почта тем и крута, что дает возможность неофициально и даже весьма распущенно общаться с собственным шефом."
"Russian","Можно, также, не торопясь тренироваться."
"Russian","Вот что я послала в ответ:"
"Russian","ПИСЬМО К КЛИВУ."
"Russian","СЭР, Я ВОЗМУЩЕНА ВАШИМ ПИСЬМОМ."
"Russian","ДА, МОЮ ЮБКУ МОЖНО СПРАВЕДЛИВО НАЗВАТЬ УЗКОЙ, (СМОТРИ ""ЭКОНОМИЯ В СЛОВАРЕ)."
"Russian","НО ВСЕ ЖЕ СЧИТАЮ ГРУБОЙ ОШИБКОЙ НАЗЫВАТЬ ЕЕ ОТСУТСТВУЮЩЕЙ, РЕКОМЕНДУЮ ЗАПРОСИТЬ МНЕНИЕ ПРОФСОЮЗА."
"Russian","С трепетом ждала ответа."
"Russian","И что бы вы думали?"
"Russian","Очень скоро на"
"Russian","экране засияло еще одно Новое Письмо."
"Russian","ПРОСТЬБА К ТОМУ, КТО НАХАЛЬНО ЗАБРАЛ ОТРЕДАКТИРОВАННУЮ КОПИЮ ""МОТОЦИКЛА КАФКИ"" С МОЕГО СТОЛА, ПОЖАЛУЙСТА, ИМЕЙТЕ СОВЕСТЬ И НЕМЕДЛЕННО ВЕРНИТЕ ЕЕ."
"Russian","И после этого: ни шиша."
"Russian","Даниел так и не ответил."
"Russian","Наверное он в бешенстве."
"Russian","Может он вовсе не шутил насчет юбки?"
"Russian","Сбилась с пути истинного и вздумала нахальничать с шефом из-за неофициальности электронной почты."
"Russian","Неужели нельзя отозвать мое письмо?"
"Russian","Пойду прогуляюсь, посмотрю: можно ли как-нибудь пробраться в кабинет Даниела и стереть его."
"Russian","Он был на совещании с Саймоном из рыночного отдела."
"Russian","Проходя мимо, стрельнул в меня глазами."
"Russian","ПИСЬМО К ДЖОНС."
"Russian","ЕСЛИ ПРОГУЛКА МИМО МОЕГО КАБИНЕТА БЫЛА ПОПЫТКОЙ ПРОДЕМОНСТРИРОВАТЬ НАЛИЧИЕ ЮБКИ, СПЕШУ ДОЛОЖИТЬ, ЧТО ОНА С ТРЕСКОМ ПРОВАЛИЛАСЬ."
"Russian","ЮБКА ЯВНО ОТСУТСТВУЕТ."
"Russian","ОНА НА БОЛЬНИЧНОМ?"
"Russian","И сразу после этого засияло еще одно Новое письмо:"
"Russian","ПИСЬМО К ДЖОНС."
"Russian","ЕСЛИ ЮБКА ДЕЙСТВИТЕЛЬНО НА БОЛЬНИЧНОМ, ПОЖАЛУЙСТА ПРОВЕРЬТЕ СКОЛЬКО БОЛЬНИЧНЫХ ДНЕЙ ЮБКА БРАЛА ЗА ПОСЛЕДНИЕ 12 МЕСЯЦЕВ."
