"language","text"
"Russian","Я думаю, наше совместное проживание повлияло на твой стиль жизни."
"Russian","Это не важно."
"Russian","Мне это не нравилось."
"Russian","Она спрашивает, как это возможно."
"Russian","Ты просто убегаешь от жизненных проблем."
"Russian","Если взглянуть на текст песни, ясно, что он на самом деле ничего не значит."
"Russian","Есть проблема, которую ты не понимаешь."
"Russian","Ты можешь сделать это!"
"Russian","Моему учителю физики все равно, пропущу ли я занятия."
"Russian","Я хотела бы иметь возможность поехать в Японию."
"Russian","Я не люблю толпу."
"Russian","Мне нужно идти спать."
"Russian","Потом я ушел оттуда, но понял, что забыл сумку."
"Russian","Я не буду вас сегодня больше ни о чем спрашивать."
"Russian","На следующей неделе могут быть заморозки."
"Russian","Несмотря на то, что он извинился, я все ещё в бешенстве."
"Russian","Полиция вас заставит найти пули."
"Russian","Спасибо за то, что наконец объяснили, почему люди принимают меня за идиота."
"Russian","Это не было моим намерением."
"Russian","Спасибо за объяснение."
"Russian","Теоретически, я занимаюсь математикой."
"Russian","Что случилось?"
"Russian","Если вы не знали меня с этой стороны, то вы вообще меня не знали."
"Russian","Я испытываю страх, если не вижу тебя в онлайне в течение всего дня."
"Russian","Я не понимаю, что ты имеешь в виду."
"Russian","Мой компьютер кое на что годится."
"Russian","Ты хотел мне рассказать о свободе?"
"Russian","Хм, теперь это действительно странно..."
"Russian","Если бы я хотел напугать тебя, я бы рассказал тебе, что мне снилось несколько недель назад."
"Russian","Нельзя ожидать всего от школы."
"Russian","Есть много слов, которые я не понимаю."
"Russian","Я не люблю, когда математики, знающие намного больше меня, не могут ясно выражать свои мысли."
"Russian","Ты действительно не глуп."
"Russian","Мне нужно задать тебе глупый вопрос."
"Russian","Я не знаю, как показать это, поскольку это и так вполне ясно."
"Russian","Мне не хотелось бы думать, что однажды мне придется искать слово ""виагра"" в Википедии."
"Russian","Можно сформулировать это по-другому?"
"Russian","Никто не узнает."
"Russian","Я нашел решение, но я нашел его настолько быстро, что оно определенно не может быть верным."
"Russian","Мне это кажется интересным!"
"Russian","За исключением этого места, все не так просто."
"Russian","Я люблю свет свечей."
"Russian","Что ты ответил?"
"Russian","Нет, это не мой новый бойфренд."
"Russian","Жаль, что мне не нужно сбрасывать вес."
"Russian","У тебя вообще не бывает занятий или что?"
"Russian","Тогда я поразгадываю судоку, вместо того чтобы беспокоить тебя."
"Russian","В чем проблема?"
"Russian","Я могу только ждать."
"Russian","Это совсем не удивительно, не так ли?"
"Russian","Я люблю тебя!"
"Russian","Ты мне больше не нравишься."
"Russian","Я любопытный."
"Russian","Мои поздравления."
"Russian","Я не хочу ждать так долго."
"Russian","Почему ты не придешь навестить нас?"
"Russian","Но вероятность невелика."
"Russian","Я уже не знаю, что делать."
"Russian","Когда-нибудь я обязательно поеду во Францию, просто пока не знаю когда."
"Russian","Я ненавижу химию."
"Russian","Я не хотел, чтобы это случилось."
"Russian","Ты, наверно, догадываешься, что случится."
"Russian","Какие у меня есть еще варианты?"
"Russian","Во мне нет тяги к путешествиям."
"Russian","Не могу сделать ничего лучше."
"Russian","Даже объяснить не могу."
"Russian","У каждого есть сильные и слабые стороны."
"Russian","На самом деле я смеялся до слёз над эпизодом 21."
"Russian","Это лишь показывает, что ты не робот."
"Russian","Как я могу быть роботом? Роботы не мечтают."
"Russian","Я никогда не задумывался об этом, - сказал старик. - ""Что же нам делать?"""
"Russian","Это не то, что может сделать каждый."
"Russian","Я не знаю, есть ли все еще у меня это."
"Russian","Что ты думаешь, я делал?"
"Russian","Не недооценивай мои силы."
"Russian","Моя мама говорит по-английски недостаточно хорошо."
"Russian","Я не говорю по-французски настолько хорошо."
"Russian","Я гадал, появишься ли ты сегодня."
"Russian","В этом и заключается проблема."
"Russian","Как ты найдешь еду в космосе?"
"Russian","Тебе ничего не остаётся, кроме того, как довериться кому-либо."
"Russian","Все хотят встретиться с вами, вы знаменитость!"
"Russian","Зачем ты сожалеешь о том, чего не сделал?"
"Russian","Я терпеть не могу формальный стиль письма!"
"Russian","Иностранцы занятны."
"Russian","Что бы я ни сделал, она говорит, что я мог бы сделать это лучше."
"Russian","Почему ты ещё не спишь так поздно?"
"Russian","Ты сам удивишься, сколько можно выучить за неделю."
"Russian","У меня нет никого, кто бы со мной поехал."
"Russian","Ты недостаточно быстр."
"Russian","Выносить что-либо может быть невыносимо."
"Russian","Одна лишь правда красива."
"Russian","Завтра он прилунится."
"Russian","Я не говорю по-японски."
"Russian","Это игра слов."
"Russian","Никто меня не понимает."
"Russian","Я научился жить без неё."
"Russian","Дальше размышлять не имеет смысла."
"Russian","Я просто хотел проверить почтовый ящик."
"Russian","Это займёт у меня слишком много времени, чтобы объяснить, почему это не будет работать."
"Russian","Не может быть!"
"Russian","Пожалуйста, не плачь."
"Russian","«Я люблю играть в карты». — «Я тоже»."
"Russian","Единственные полезные ответы - те, которые поднимают новые вопросы."
"Russian","Сомневаться в себе есть первый признак ума."
"Russian","Довольно сложно выучить французский за 2—3 года."
"Russian","Я думаю, что экзамены портят образование."
"Russian","Кошка? - спросил пожилой мужчина."
"Russian","Всё то, что было изобретено, правильно."
"Russian","Изумление, удивление - это первый шаг на пути к постижению."
"Russian","Нет сомненья: вселенная бесконечна."
"Russian","Тем не менее, обратное также верно."
"Russian","Мы видим вещи не такими, какие они есть, а такими, каковы мы сами."
"Russian","Мир - это клетка для безумных."
"Russian","Меня зовут Джек."
"Russian","Мне это очень нравится."
"Russian","Любовь не пропадает даром."
"Russian","Жизнь — то, что с тобой случается, пока ты занят другими делами."
"Russian","Не желать обладать - всё равно что обладать."
"Russian","По твоей вине я потерял аппетит."
"Russian","Математика есть часть науки, которой можно было бы продолжать заниматься, проснувшись утром и поняв, что вселенной больше нет."
"Russian","Ты знаешь, как говорят: «что посеешь, то и пожнёшь». Я посеял ветер, а вот и буря."
"Russian","Это слишком дорого!"
"Russian","Он был бы рад услышать это."
"Russian","Прошлое можно только знать, но не изменять. Будущее можно только изменять, но не знать."
"Russian","Я проголодался!"
"Russian","Реальных видений не бывает."
"Russian","Всё возможно - было бы желание."
"Russian","Целое больше суммы его частей."
"Russian","Возьми книгу и прочитай её!"
"Russian","Он уже мужчина."
"Russian","Ты прав."
"Russian","Жизнь прекрасна."
"Russian","Ты за или против абортов?"
"Russian","Я люблю лазанью."
"Russian","Я не хочу идти в школу."
"Russian","Мнение шокирует лишь тогда, когда это убеждение."
"Russian","Я потерял вдохновение."
"Russian","Маленький огонь в лесу может легко распространиться и быстро стать огромным пожаром."
"Russian","Жизнь начинается, когда определяешься, чего от неё хочешь."
"Russian","О чём ты?"
"Russian","Зима — моё любимое время года."
"Russian","Из какой ты страны?"
"Russian","Доброе утро!"
"Russian","Не важно."
"Russian","Сделай что-нибудь!"
"Russian","Что ты хочешь делать?"
"Russian","Я сейчас уставший."
"Russian","Подумай об этом, пожалуйста."
"Russian","Ты слишком много думаешь."
"Russian","Подумай об этом."
"Russian","Пойди к врачу взять прописанное лекарство!"
"Russian","Где твой дом? – ""Он вон там""."
"Russian","Символ «&» ставится вместо «и»."
"Russian","«Кто эта девочка?» — «Это Кейко»."
"Russian","«Я видел ее пять дней назад», — сказал он."
"Russian","Во Вселенной есть много галактик."
"Russian","Она каждое утро принимает душ."
"Russian","Наш самолёт летел над облаками."
"Russian","У Майка есть несколько друзей во Флориде."
"Russian","Город подвергся бомбардировке вражеских самолётов."
"Russian","Ему не было суждено встретить её ещё раз."
"Russian","Нет любви без ревности."
"Russian","У меня уйдёт слишком много времени на объяснение, почему это не сработает."
"Russian","Например, тебе нравится английский?"
"Russian","Когда Вам будет удобно?"
"Russian","Я прочитал этот рассказ в какой-то книге."
"Russian","Ты не знаешь, где мои часы?"
"Russian","Вы когда-либо летали на воздушном шаре?"
"Russian","Продают ли в этом магазине тетради?"
"Russian","Я бегу как можно быстрее, чтобы догнать его."
"Russian","Дайте, пожалуйста, стакан воды."
"Russian","Я видел, как он бежал."
"Russian","Приближается Рождество."
"Russian","Мне не надо было поливать цветы. Как только я закончил, начался дождь."
"Russian","Я перезвоню тебе позже."
"Russian","Человек — это единственное животное, которое может смеяться."
"Russian","Его знали все в деревне."
"Russian","Я заказал два гамбургера."
"Russian","Ты знаешь, кто она такая?"
"Russian","Посмотри на тот дым."
"Russian","В эту сумму включены налоги."
"Russian","Эта школа была основана в 1650 году."
"Russian","Я случайно нашёл этот ресторан."
"Russian","Он спит как младенец."
"Russian","Эта проблема возникла из-за неправильного понимания друг друга."
"Russian","Они скажут: «Ага!»"
"Russian","Этот кондиционер потребляет много электричества."
"Russian","Всё распродано!"
"Russian","Я не хотел никого обидеть."
"Russian","Он легко решил эту задачу."
"Russian","Тебе следует учитывать его возраст."
"Russian","Этот сад лучше всего выглядит весной."
"Russian","Этот сыр изготовлен из овечьего молока."
"Russian","Я не могу позволить себе зря потратить хоть одну иену."
"Russian","Гора укрыта снегом."
"Russian","Не вини в этом её."
"Russian","Пожалуйста, дайте мне ещё один шанс."
"Russian","Вы знаете столицу Бельгии?"
"Russian","Было очень приятно увидеть тебя снова."
"Russian","Есть случаи, когда это правило не выполняется."
"Russian","Она бросила курить."
"Russian","Фильм взволновал всех зрителей."
"Russian","На фотографии у девушки корона не из золота, а из цветов."
"Russian","Не забывай нас!"
"Russian","Выпало много снега."
"Russian","Идёт снег."
"Russian","Может пойти снег."
"Russian","Дождь перешёл в снег."
"Russian","У нас в январе идёт снег."
"Russian","Маюко приснился странный сон."
"Russian","Рейн течёт между Францией и Германией."
"Russian","Ирландия известна своим кружевом."
"Russian","«Трасянка» будет приравнена к белорусскому языку во время переписи."
"Russian","Добро пожаловать в Японию."
"Russian","Его родная страна — Грузия."
"Russian","У маленького Мартина было достаточно тихое детство в Атланте, штат Джорджия."
"Russian","Забронируйте, пожалуйста, комнату возле международного аэропорта в Торонто."
"Russian","Я буду тут до десяти."
"Russian","Майку нравится играть в баскетбол."
"Russian","Танабата празднуется в июле."
"Russian","Она не боится ничего."
"Russian","У Дика произошла автомобильная авария."
"Russian","Я Сьюзан Грин."
"Russian","Билл старше меня на два года."
"Russian","Том пошёл через дорогу."
"Russian","Вот мы здесь."
"Russian","Боб — мой друг."
"Russian","Г-н Ванг из Китая."
"Russian","В этом доме 6 комнат."
"Russian","Я не понимаю."
"Russian","Хороший вопрос."
"Russian","Мне нравятся музыка и английский язык."
"Russian","Ему нравится и спорт, и учёба."
"Russian","Мне нравится короткая стрижка."
"Russian","Распространяйте эсперанто!"
"Russian","На посулы тароват, а на деле скуповат."
"Russian","Войдите!"
"Russian","Добро пожаловать!"
"Russian","Я очень устал, хочу лечь пораньше."
"Russian","Поторапливайся!"
"Russian","Наконец-то мы встретились! Я так долго ждал этого дня!"
"Russian","Вы должны заботиться о своей больной матери."
"Russian","Он странствовал по Европе несколько месяцев."
"Russian","Стиральная машина - замечательное изобретение."
"Russian","Мэри выглядит не очень дружественно, но у нее доброе сердце."
"Russian","Женщина, что сидит на диване, - моя бабушка."
"Russian","Проблема требовала больших усилий, чтобы её решить."
"Russian","О нём я не знаю ничего, кроме имени."
"Russian","Я пробуду здесь недолго."
"Russian","Так вести себя - это на него очень похоже."
"Russian","Папа купил мне фотоаппарат."
"Russian","Собака гналась за кошкой."
"Russian","Даже если постирать, цвет не полиняет."
"Russian","Лимоны кислые."
"Russian","Эксперимент закончился неудачей."
"Russian","Он никогда не врет."
"Russian","Приехав на станцию, я позвонил своему другу."
"Russian","В комнате не было ничего, кроме старого стула."
"Russian","В корзине лежит несколько яблок."
"Russian","Мои часы были украдены."
"Russian","Он ученый, которого все уважают."
"Russian","Нет, китайские блюда лучшие."
"Russian","Куда ты вчера ходил?"
"Russian","Мне понадобилось 3 дня, чтобы убрать комнату."
"Russian","Город находится западнее Лондона."
"Russian","Вам нравятся научно-фантастические фильмы?"
"Russian","Как только дверь открылась, они убежали."
"Russian","Он обещал жениться на ней."
"Russian","Выставка уже открыта."
"Russian","Дата и адрес обычно пишутся в шапке писем."
"Russian","У меня сильная зубная боль."
"Russian","У него есть ""тойота""."
"Russian","У Билла есть много друзей."
"Russian","У автора красивый стиль."
"Russian","Все цивилизованные страны против войны."
"Russian","Если бы не мой совет, ты бы потерпел неудачу."
"Russian","Это был тихий зимний вечер."
"Russian","Она была околдована его улыбкой."
"Russian","Папа купил мне книги."
"Russian","Я стал старше, поэтому я стал смотреть на вещи по-другому."
"Russian","Он решил отложить свой отъезд."
"Russian","Я не люблю яблоки."
"Russian","Ты занят в воскресенье после полудня?"
"Russian","Эта гора покрыта снегом круглый год."
"Russian","Несмотря на то, что она выросла в Японии, она свободно говорит по-английски."
"Russian","Холодно."
"Russian","Прости меня, пожалуйста."
"Russian","Я потерял кошелёк."
"Russian","Я левша."
"Russian","Я знаю её адрес."
"Russian","Что бы он ни делал, он делает это хорошо."
"Russian","Он старше меня на три года."
"Russian","Мой отец вернётся в начале следующего месяца."
"Russian","На французском языке говорят во Франции."
"Russian","Перед тем как выйти из дома, не забудьте выключить газ."
"Russian","Он написал письмо."
"Russian","То, что он гений, очевидно всем."
"Russian","Она родила хорошенькую девочку на прошлой неделе."
"Russian","У меня врождённые способности к математике."
"Russian","С детства я мечтал стать кондитером."
"Russian","Он любит рыбалку."
"Russian","Как только он остался один, он сразу вскрыл письмо."
"Russian","Вы говорите по-французски?"
"Russian","Он унаследовал бизнес от отца."
"Russian","Они не искупались, потому что было холодно."
"Russian","Обе сестры очень красивые."
"Russian","Она всегда к нему придирается."
"Russian","Ты должен извиниться перед ней за то, что был невежлив."
"Russian","Он снял шляпу."
"Russian","Они поздравили его с женитьбой."
"Russian","Земля примерно в 6 раз больше Луны."
"Russian","Он починил мне часы."
"Russian","Должно быть, ему за 60."
"Russian","Он намного старше её."
"Russian","Этот шум действует мне на нервы."
"Russian","Успеет ли он на поезд?"
"Russian","Он рисковал жизнью, чтобы спасти её."
"Russian","Лидер партии - известный учёный."
"Russian","Он сдержал крик боли."
"Russian","В этой стране среднее количество детей в семье сократилось с 2 до 1,5."
"Russian","Они женаты 4 года."
"Russian","Матч отменили из-за дождя."
"Russian","Если бы было немного теплее, мы могли бы выпить чаю в саду."
"Russian","У него раздвоение личности."
"Russian","Она завидует моему успеху."
"Russian","Меня это не касается."
"Russian","Младенец перестал плакать."
"Russian","Как ты думаешь, что она собирается делать?"
"Russian","Принимайте побольше аскорбиновой кислоты, чтобы не простудиться."
"Russian","В следующем году я должен сдавать вступительные экзамены."
"Russian","Они отложили свой отъезд из-за сильного снегопада."
"Russian","Лёд растаял."
"Russian","Она хвастается, что хорошо готовит."
"Russian","Я больше не ношу очки."
"Russian","У девушки на картине на голове венок из живых цветов, а не золотая корона."
"Russian","Ты уже определился с темой диплома?"
"Russian","Никто не опоздал."
"Russian","Я бросил курить."
"Russian","Эта книга хорошо продавалась в Японии."
"Russian","Спокойной ночи, мама."
"Russian","Как называется эта улица?"
"Russian","Кошка пьёт молоко."
"Russian","Это мнение дилетанта."
"Russian","Юридическая терминология непонятна для большинства непрофессионалов."
"Russian","Её дочь сбежала с молодым писателем."
"Russian","Я не могу больше терпеть."
"Russian","Мне не нравится ни одна из этих картин."
"Russian","Свеча сама погасла."
"Russian","По-японски мне говорить легко."
"Russian","Вы говорите по-японски?"
"Russian","Много иностранцев приедут в Японию, чтобы изучать японский язык."
"Russian","Я хорошо говорю по-японски."
"Russian","Вам лучше уйти."
"Russian","Сейчас вам лучше уйти."
"Russian","Буду стараться каждый день делать физические упражнения."
"Russian","Я вчера помог отцу."
"Russian","Я вчера видел удивительный сон."
"Russian","Вчера я был болен."
"Russian","Я вчера прочитал очень интересный рассказ."
"Russian","Вчера я проходил мимо её дома."
"Russian","Я ему заплатил на прошлой неделе."
"Russian","Если он придёт, скажите, чтобы подождал меня."
"Russian","Мой отец высокий."
"Russian","Едите ли вы рис в вашей стране?"
"Russian","«Ничего, если я пойду с вами?» — «Конечно!»"
"Russian","Каждое утро они просыпаются в 6 часов."
"Russian","Тот новый магазин откроется на следующей неделе."
"Russian","Она должна заботиться о том пожилом человеке."
"Russian","Я не знаю, что это."
"Russian","Когда я тебя вижу, я всегда вспоминаю о Кене."
"Russian","Я вегетарианец."
"Russian","Девушка стояла перед аудиторией."
"Russian","Я был один в аудитории."
"Russian","Как тебя зовут?"
"Russian","Пожалуйста, скажи мне своё имя."
"Russian","Меня зовут Танака Ичиро."
"Russian","Я забыл, как его зовут."
"Russian","У него странное имя."
"Russian","Как его зовут?"
"Russian","Моя фамилия — Ямада."
"Russian","Как Вас зовут?"
"Russian","Меня зовут Тамако, а тебя?"
"Russian","Меня зовут Кирилл, рад познакомиться."
"Russian","Все судьбы собрались в моем красном мире."
"Russian","Корзина была наполнена клубникой доверху."
"Russian","Ты нужен мне."
"Russian","Ты - прекраснейший цветок в моей жизни."
"Russian","Среди дурманящих цветов, куда действительность ушла?"
"Russian","Сердце бьется все чаще с расцветом любви."
"Russian","Неосторожность - злейший враг."
"Russian","Любое мастерство поможет в жизни."
"Russian","Где правит грубая сила, оттуда уходит разум."
"Russian","Нелюбимые дети прочней стоят на ногах."
"Russian","Любовь слепа."
"Russian","Дождь проходит, и земля еще больше твердеет."
"Russian","Один камень — две бабочки."
"Russian","Воспитанность важнее, чем знатный род."
"Russian","Стены имеют уши, а сёдзи - глаза."
"Russian","Не откладывай на завтра то, что можно сделать сегодня."
"Russian","Нет лекарства от болезни любви."
"Russian","Невозможно поймать тигрёнка, не войдя в логово тигра."
"Russian","Десять человек - десять вкусов."
"Russian","Ад и Рай существуют лишь в сердцах людей."
"Russian","Всё, что существует на свете, — только сон."
"Russian","Ад тоже жилое место."
"Russian","Демон сердца истязает тело."
"Russian","На дороге смерти не бывает королей."
"Russian","Женским волосом можно привязать даже большого слона."
"Russian","У красивого цветка шипы растут."
"Russian","Дитя змеи — змея."
"Russian","Когда говорят о будущем, черти смеются."
"Russian","Когда пьешь сакэ, становишься откровенным."
"Russian","Жизнь прожить трудно, а умереть легко."
"Russian","Красивые цветы хороших плодов не приносят."
"Russian","Мужчина и в сорок и в пятьдесят лет все ещё мальчик."
"Russian","Не все люди - злые черти."
"Russian","В каком году вы родились?"
"Russian","Угощайся чем угодно."
"Russian","Я тебя больше не люблю."
"Russian","Его теория заслуживает рассмотрения."
"Russian","Его женили рано, когда он был ещё студентом второго курса, и теперь его жена казалась в полтора раза старше его."
"Russian","И вот однажды, под вечер, он обедал в саду, а дама в берете подходила не спеша, чтобы занять соседний стол."
"Russian","« Если она здесь без мужа и без знакомых, — соображал Гуров, — то было бы не лишнее познакомиться с ней »."
"Russian","Потом у себя в номере он думал о ней, о том что завтра она, наверное, встретится с ним."
"Russian","Прошла неделя после знакомства."
"Russian","Тогда он пристально поглядел на неё и вдруг обнял её и поцеловал в губы."
"Russian","Потом, когда они вышли, на набережной не было ни души, город со своими кипарисами имел совсем мёртвый вид, но море ещё шумело и билось о берег."
"Russian","На столе в номере был арбуз."
"Russian","Потом каждый полдень они встречались на набережной, завтракали вместе, обедали, гуляли, восхищались морем."
"Russian","Да. Пора домой."
"Russian","Это хорошо, что я уезжаю, — говорила она Гурову. — Это сама судьба."
"Russian","Если б вы знали, с какой очаровательной женщиной я познакомился в Ялте!"
"Russian","Он сидел на постели, покрытой дешёвым серым, точно больничным, одеялом."
"Russian","Вы должны уехать… — продолжала Анна Сергеевна шёпотом. — Слышите, Дмитрий Дмитрич?"
"Russian","Возможно ли, чтобы слух был обоснован?"
"Russian","Странно, что ты ничего не знаешь на этот счёт."
"Russian","У меня ужасно болит голова!"
"Russian","Скоро весна."
"Russian","Скоро наступит весна."
"Russian","Я часто вспоминаю своё счастливое детство."
"Russian","Я скоро вернусь."
"Russian","Я пять лет изучал английский язык."
"Russian","Наша команда выиграла партию."
"Russian","Я встретил твоего друга."
"Russian","Он мне пишет раз в неделю."
"Russian","Я спросил у него, как его зовут."
"Russian","Ты наконец написал своё домашнее задание?"
"Russian","Он живёт на квартире."
"Russian","Ему играть не с кем."
"Russian","Он прервал наш разговор."
"Russian","Я не люблю, когда ты гуляешь одна."
"Russian","Интересно, где ж он спрятался?"
"Russian","С нетерпением жду от вас новости."
"Russian","Автобус занесло снегом."
"Russian","Я забронировал место."
"Russian","Я люблю ходить в кино."
"Russian","Мне хотелось убежать."
"Russian","Я больше не могу!"
"Russian","Ничего себе!"
"Russian","Мне надо написать письмо."
"Russian","Она вдруг рассердилась."
"Russian","Я так и знал."
"Russian","Он был ранен на войне."
"Russian","Она обожает играть в теннис."
"Russian","Становится всё жарче и жарче."
"Russian","Этот певец нравится многим девушкам."
"Russian","К вечеру может пойти снег."
"Russian","Я проверяю слова в своём словаре."
"Russian","Он превосходно играет на фортепиано."
"Russian","Каждый раз, когда я смотрю на эту фотографию, я вспоминаю счастливые дни деревенской жизни."
"Russian","Смотри на меня, когда я с тобой разговариваю!"
"Russian","Мне надо будет об этом подумать."
"Russian","Услышав новость, она зарыдала."
"Russian","Твои часы лежат на рабочем столе."
"Russian","Я бы хотел поехать в Лондон."
"Russian","Он будет дома чуть раньше пяти."
"Russian","Свет сам выключился."
"Russian","Я бы хотел поехать во Францию."
"Russian","Мне чай с лимоном, пожалуйста."
"Russian","Услыхав свое имя, помесь такса с дворняжкой вышла из-под верстака, где она спала на стружках, сладко потянулась и побежала за хозяином."
