"language","text"
"English","I was so furious I kept jamming my foot down to the floor on the accelerator pedal to give vent to my feelings, which is very dangerous."
"English","She seemed to manage to kiss me, get my coat off, hang it over the banister, wipe her lipstick off my cheek and make me feel incredibly guilty all in one movement, while I leaned against the ornament shelf for support."
"English","What are we going to do with you?"
"English","said Geoffrey Alconbury, clad in a yellow diamond-patterned sweater."
"English","He did a jokey Bruce Forsyth step then gave me the sort of hug which Boots would send straight to the police station."
"English","Una, she came off at Junction nineteen!"
"English","roared Brian Enderby (married to Mavis, used to be president of the Rotary in Kettering), waving his sherry in the air."
"English","Fortunately my dad rescued me."
"English","Come and demonstrate your presence so I can start enjoying myself."
"English","It was all right, I suppose."
"English","Apparently he had the most terrible time with his wife."
"English","Being set up with a man against your will is one level of humiliation, but being literally dragged into it by Una Alconbury while caring for an acidic hangover, watched by an entire roomful of friends of your parents, is on another plane altogether."
"English","It struck me as pretty ridiculous to be called Mr Darcy and to stand on your own looking snooty at a party."
"English","I racked my brain frantically to think when I last read a proper book."
"English","The trouble with working in publishing is that reading in your spare time is a bit like being a dustman and snuffling through the pig bin in the evening."
"English","Then I had a brainwave."
"English","Anyway, completely safe option as no way diamond-pattern-jumpered goody-goody would have read five-hundred-page feminist treatise."
"English","I said wildly, racking my brains for a way to get off the subject."
"English","I was at a party in London last night."
"English","I could feel it climbing up my neck."
"English","As I looked down I saw that he was wearing white socks with a yellow bumblebee motif"
"English","I said, to show I had had a genuine reason for coming over, which was quite definitely gherkin-based rather than phone-number-related."
"English","He blinked at me."
"English","2 a.m. Oh, why am I so unattractive?"
"English","Even a man who wears bumblebee socks thinks I am horrible."
"English","Hate the New Year."
"English","Am going to consume them and have fag."
"English","Tuesday 3 January"
"English","9st 4 (terrifying slide into obesity – why?"
"English","Cannot face thought of go to work."
"English","Only thing which makes it tolerable is thought of seeing Daniel again, but even that is inadvisable since am fat, have spot on chin, and desire only to sit on cushion eating chocolate and watching Xmas specials."
"English","Was really beginning to enjoy the feeling that normal service was suspended and it was OK to lie in bed as long as you want, put anything you fancy into your mouth, and drink alcohol whenever it should chance to pass your way, even in the mornings."
"English","Now suddenly we are all supposed to snap into self-discipline like lean teenage greyhounds."
"English","I looked at her wistfully, her vast, bulbous bottom swathed in a tight red skirt with a bizarre three-quarter-length striped waistcoat strapped across it."
"English","What a blessing to be born with such Sloaney arrogance."
"English","Perpetua could be the size of a Renault Espace and not give it a thought."
"English","How many hours, months, years, have I spent worrying about weight while Perpetua has been happily looking for lamps with porcelain cats as bases around the Fulham Road?"
"English","She is missing out on a source of happiness, anyway."
"English","It is proved by surveys that happiness does not come from love, wealth or power but the pursuit of attainable goals: and what is a diet if not that?"
"English","On way home in end-of-Christmas denial I bought a packet of cut-price chocolate tree decorations and a ?3.69 bottle of sparkling wine from Norway, Pakistan or similar."
"English","I guzzled them by the light of the Christmas tree, together with a couple of mince pies, the last of the Christmas cake and some Stilton, while watching EastEnders, imagining it was a Christmas special."
"English","Now, though, I feel ashamed and repulsive."
"English","I can actually feel the fat splurging out from my body."
"English","Sometimes you have to sink to a nadir of toxic fat envelopment in order to emerge, phoenix-like, from the chemical wasteland as a purged and beautiful Michelle Pfeiffer figure."
"English","Tomorrow new Spartan health and beauty regime will begin."
"English","Love his wicked dissolute air, while being v. successful and clever."
"English","He was being v. funny today, telling everyone about his aunt thinking the onyx kitchen-roll holder his mother had given her for Christmas was a model of a penis."
"English","Was really v. amusing about it."
"English","Also asked me if I got anything nice for Christmas in rather flirty way."
"English","Think might wear short black skirt tomorrow."
"English","Wednesday 4 January"
"English","9st 5 (stateof emergency now as if fat hasbeen stored incapsule form over Christmasand is being slowly releasedunder skin),alcoholunits 5 (better), cigarettes 20, calories700 (v.g.)"
"English","Her boyfriend, Vile Richard (self-indulgent commitment phobic), whom she has been seeing on and off for eighteen months, had chucked her for asking him if he wanted to come on holiday with her."
"English","Typical, but Jude naturally was blaming it all on herself."
"English","I asked for too much to satisfy my own neediness rather than need."
"English","I immediately called Sharon and an emergency summit has been scheduled for 6.30 in Cafe Rouge."
"English","I hope I can get away without bloody Perpetua kicking up."
"English","As women glide from their twenties to thirties, Shazzer argues, the balance of power subtly shifts."
"English","Even the most outrageous minxes lose their nerve, wrestling with the first twinges of existential angst: fears of dying alone and being found three weeks later half-eaten by an Alsatian."
"English","Stereotypical notions of shelves, spinning wheels and sexual scrapheaps cons ire to make you feel stupid, no matter how much time you spend thinking about Joanna Lumley and Susan Sarandon."
"English","After all, there is nothing so unattractive to a man as strident feminism."
"English","Thinking moonily about Daniel Cleaver, I ventured that not all men are like Richard."
"English","At which point Sharon started on a long illustrative list of emotional fuckwittage in progress amongst our friends: one whose boyfriend of thirteen years refuses even to discuss living together; another who went out with a man four times who then chucked her because it was getting too serious; another who was pursued by a bloke for three months with impassioned proposals of marriage, only to find him ducking out three weeks after she succumbed and repeating the whole process with her best friend."
"English","He ambled over to us to say hi."
"English","I ought to stop it really, but, well ."
"English","Jude and I forcibly restrained her while Alex, looking panic-stricken, rushed back, to continue his fuckwittage unrumbled."
"English","Eventually the three of us worked out a strategy for Jude."
"English","After Jude had gone because she has to get up at 5.45 to go to the gym and see her personal shopper before work starts at 8.30 (mad) – Sharon and I were suddenly filled with remorse and self-loathing for not advising Jude simply to get rid of Vile Richard because he is vile."
"English","Thursday 5 January"
"English","9st 3(excellent progress – 21b of fat spontaneously combustedthrough joy and sexual promise), alcohol units 6 (v.g."
"English","forparty), cigarettes 12 (continuing good work), calories 1258(love has eradicated need to pig out)."
"English","Daniel Cleaver just sent me a message."
"English","Was trying to work on CV without Perpetua noticing (in preparation for improving career) when Message Pending suddenly flashed up on top of screen."
"English","Delighted by, well, anything – as always am if is not work – I quickly pressed RMS Execute and nearly jumped out of my skin when I saw Cleave at the bottom of the message."
"English","I instantly thought he had been able to tap into the computer and see that I was not getting on with my work."
"English","But then I read the message:"
"English","You appear to have forgotten your skirt."
"English","I think is made perfectly clear in your"
"English","contract of employment, staff are expected"
"English","to be fully dressed at all times."
"English","Thought for a little while whilst pretending to study tedious-beyond-belief manuscript from lunatic Have never messaged Daniel Cleaver before but brilliant thing about messaging system is you can be really quite cheeky and informal, even to your boss."
"English","Also can spend ages practising."
"English","This is what sent."
"English","Sir, am appalled by message."
"English","could reasonably be described as a little"
"English","on the skimpy side (thrift being ever our"
"English","watchword in editorial), consider it gross"
"English","misrepresentation to describe said skirt as"
"English","absent, and considering contacting union."
"English","Waited in frenzy of excitement for reply."
"English","Sure enough Message Pending quickly flashed up."
"English","Will whoever has thoughtlessly removed the"
"English","desk PLEASE have the decency to return it"
"English","Daniel has not replied."
"English","Maybe he was being serious about the skirt."
"English","Oh God oh God."
"English","Have been seduced by informality of messaging medium into being impertinent to boss."
"English","Maybe he has not got it yet."
"English","If one could get message back."
"English","He is in meeting with Simon from Marketing."
"English","He gave me a look when walked past."
"English","If walking past office was attempt to"
"English","demonstrate presence of skirt can only say"
"English","that it has failed parlously."
"English","Is skirt off sick?"
"English","Message Pending then flashed up again immediately."
"English","If skirt is indeed sick, please look into how"
"English","many days sick leave skirt has taken in previous"
"English","Spasmodic nature of recent"
"English","skirt attendance suggests malingering"
"English","Just sending back:"
"English","Skirt is demonstrably neither sick nor"
"English","blatently sizist attitude to skirt."
"English","Obsessive interest in skirt suggests"
"English","management sick rather than skirt."
"English","Think will cross last bit out as contains mild accusation of sexual harassment whereas v. much enjoying being sexually harassed by Daniel Cleaver."
"English","Perpetua just walked past and started reading over shoulder."
"English","Just managed to press Alt Screen in nick of time but big mistake as merely put CV back up on screen."
"English","said Perpetua, with a nasty smirk."
"English","– I got back to work."
"English","This is what I am about to send."
"English","Skirt is demonstrably neither sick nor"
"English","blatently sizist attitude to skirt."
"English","Considering appeal to industrial tribunal,"
"English","This was return message."
"English","Absent, Jones, not abscent."
"English","Please attempt to acquire at"
"English","least perfunctory grasp of spelling."
"English","by no means trying to suggest language fixed"
"English","rather than constantly adapting, fluctuating"
"English","tool of communication (cf Hoenigswald)"
"English","computer spell check might help."
"English","Was just feeling crestfallen when Daniel walked past with Simon from Marketing and shot a very sexy look at my skirt with one eyebrow raised."
"English","Love the lovely computer messaging."
"English","Must work on spelling, though."
"English","After all, have degree in English."
"English","Friday 6 January"
"English","5.45 p.m. Could not be more joyous."
"English","Computer messaging re: presence or otherwise of skirt continued obsessively all afternoon."
"English","Cannot imagine respected boss did stroke of work."
"English","Weird scenario with Perpetua (penultimate boss), since knew I was messaging and v. angry, but fact that was messaging ultimate boss gave self conflicting feelings of loyalty – distinctly un-level playing field where anyone with ounce of sense would say ultimate boss should hold sway."
"English","Last message read:"
"English","Wish to send bouquet to ailing skirt over"
"English","Please supply home contact no asap"
"English","as cannot, for obvious reasons, rely on"
"English","Am irresistible Sex Goddess."
"English","Sunday 8 January"
"English","9st 2(v.bloody g. but what is point?"
"English","2 p.m. Oh God, why am I so unattractive?"
"English","Cannot believe I convinced myself I was keeping the entire weekend free to work when in fact I was on permanent date-with-Daniel standby."
"English","Hideous, wasted two days glaring psychopathically at the phone, and eating things."
"English","Must centre myself more."
"English","Will ask Jude about appropriate self-help book, possible Eastern-religion-based."
"English","Phone call alert, which turned out to be just Tom, asking if there was any telephonic progress."
"English","Tom, who has taken, unflatteringly, to calling himself a hag-fag, has been sweetly supportive about the Daniel crisis."
"English","Tom has a theory that homosexuals and single women in their thirties have natural bonding: both being accustomed to disappointing their parents and being treated as freaks by society."
"English","What about my human right not to have to wander round with fearsome unattractiveness hang-up?"
"English","It is far too late for Daniel to ring."
"English","V. sad and traumatized."
"English","Monday 9 January"
"English","9st 2,alcohol units 4,cigarettes29, calories 770 (v.g.but at what price?)."
"English","Nightmare day in office."
"English","Watched the door for Daniel all morning: nothing."
"English","I was seriously alarmed."
"English","Should I raise an alert?"
"English","Panic stricken, I reached for the Silk Cut."
"English","The second I put the phone down I realized it was an emergency and rang Tom, who calmly said leave it to him: if he made several calls to the machine he could find the code which would let him play back and erase the message."
"English","Tuesday 10 January"
"English","9st 1, alcohol units 2, cigarettes 6, calories 998 (excellent, v.g."
"English","Slunk into the office crippled with embarrassment about the message."
"English","I had resolved totally to detach myself from Daniel but then he appeared looking unnervingly sexy and started making everyone laugh so that I went all to pieces."
"English","Suddenly, Message Pending flashed up on the top of my computer screen."
"English","Thanks for your phone call."
"English","That phone call was suggesting a date."
"English","Please shut up."
"English","I am very busy and"
"English","And after a few minutes more, he replied."
"English","Sorry to interrupt, Jones, pressure must be hellish."
"English","I like your tits in that top."
"English","And we were off."
"English","Frantic messaging continued all week, culminating in him suggesting a date for Sunday night and me dizzyingly, euphorically, accepting."
"English","Sometimes I look around the office as we all tap away and wonder if anyone is doing any work at all."
"English","All wrong, like Saturday morning or Monday at 2 p.m.)"
"English","Sunday 15 January"
"English","9st (excellent), alcohol units 0, cigarettes 29 (v.v."
"English","in 2 hours), caloriess 3879 (repulsive), negative thoughts 942(approx."
"English","per minute), minutes spent counting negative thoughts 127 (approx.)."
"English","Completely exhausted by entire day of date-preparation."
"English","Being a woman is worse than being a farmer there is so much harvesting and crop spraying to be done: legs to be waxed, underarms shaved, eyebrows plucked, feet pumiced, skin exfoliated and moisturized, spots cleansed, roots dyed, eyelashes tinted, nails filed, cellulite massaged, stomach muscles exercised."
"English","The whole performance is so highly tuned you only need to neglect it for a few days for the whole thing to go to seed."
"English","Sometimes I wonder what I would be like if left to revert to nature – with a full beard and handlebar moustache on each shin, Dennis Healey eyebrows, face a graveyard of dead skin cells, spots erupting, long curly fingernails like Struwelpeter, blind as bat and stupid runt of species as no contact lenses, flabby body flobbering around."
"English","Is it any wonder girls have no confidence?"
"English","Cannot believe this has happened."
"English","On the way to the bathroom, to complete final farming touches, I noticed the answerphone light was flashing: Daniel."
"English","Cannot believe it."
"English","Still, he is in top-level job."
"English","He might have bloody well rung again, though."
"English","Is probably out with someone thinner."
"English","5 a.m. What s wrong with me?"
"English","Am going to have nothing more to do with him."
"English","Am going to get weighed."
"English","Monday 16 January"
"English","9 st 2(fromwhere?"
"English","Daniel is still locked in his meeting."
"English","Maybe it was a genuine excuse."
"English","1 p.m. Just saw Daniel leaving for lunch."
"English","He has not messaged me or anything."
"English","Tom said not to be paranoid, give it time, but I could tell he was not concentrating and only wanted to talk about Jerome as suffused with sex-lust."
"English","Tuesday 24 January"
"English","Friday 27 January"
"English","9st 3(but stuffed with Genoan food),alcohol units 8,cigarettes 400 (feels like), calories 875."
"English","Then he lightly brushed a hair from my forehead, took my cheek in his hand and kissed me, urgently, desperately."
"English","The second we were inside his flat we upon each other like beasts: shoes, jackets, strewn in a trail across the room."
"English","Then, caveat in place, he carried on with the zip."
"English","As it was, I leapt to my feet, pulling up my skirt."
"English","I am not interested in emotional fuckwittage."
"English","You should have seen his face."
"English","But no I am home I am sunk into gloom."
"English","I may have been right, but my reward, I know, will be to end up all alone, half-eaten by an Alsatian."
"English","Wednesday 1 February"
"English","9 st, alcohol units 9, cigarettes 28 (but will soon give up for Lent so might as well smoke self into disgusted smoking frenzy), calories 3826."
"English","Spent the weekend struggling to remain disdainfully buoyant after the Daniel fuckwittage debacle."
"English","Smoking was v. bad."
"English","Mum had been to church and suddenly realized in a St Paul-on-road-to-Damascus-type blinding flash that the vicar is gay."
"English","Look at your Tom."
"English","My dad, somewhat bizarrely, insisted on giving my car a full service before I left, even though I assured him there was nothing wrong with it."
"English","I rather showed myself up by not remembering how to open the bonnet."
"English","he said in a stiff, embarrassed way as he fiddled around with the oil stick, wiping it with rags and plunging it back in a not unworrying manner, if one were a Freudian."
"English","Which I am not."
"English","They were a little on the frou-frou side, to tell the truth."
"English","Dressed from head to toe in rose pink."
"English","I racked my brains."
"English","Best get off before it gets dark."
"English","Send my love to Jude."
"English","Then he hit the bonnet in an off-you-go sort of way but so hard that I had a feeling he might have broken his hand."
"English","Worried about own ambition, career prospects and moral seriousness as seem to reduce everything to level of scout disco."
"English","Eventually managed to worm out of Perpetua that Daniel has gone to New York."
"English","He will clearly by now have got off with thin American cool person called Winona who puts out, carries a gun and is everything I am not."
"English","Such occasions always reduce my ego to size of snail, which is not to say am not grateful to be asked."
"English","I love Magda and Jeremy."
"English","Sometimes I stay at their house, admiring the crisp sheets and many storage jars full of different kinds of pasta, imagining that they are my parents."
"English","But when they are together with their married friends I feel as if I have turned into Miss Havisham."
"English","11.45 p.m. Oh God."
"English","Why do they do this?"
"English","Maybe they really do want to patronize us and make us feel like failed human beings."
"English","I slurred with a pointless attempt at sarcasm."
"English","All eyes turned to me, beadily."
"English","and they all leapt to their feet and started getting ready to go home."
"English","whispered Magda, who knew how I was feeling."
"English","I trilled, hurrying out into the street."
"English","Then I got into a taxi and burst into tears."
"English","Sunday 5 February"
"English","Still no word from Daniel."
"English","Cannot face thought of entire Sunday stretching ahead with everyone else in the world except me in bed with someone giggling and having sex."
"English","No way will I get any cards."
"English","Toy with idea of flirting energetically with anyone I think might be induced to send me one, but dismiss as immoral."
"English","Will just have to take total indignity on the chin."
"English","Then will feel like caring angel or saint."
"English","The last remaining tiny bathmat of security has been pulled from under my feet."
"English","Magnanimous offer to pay caring surprise visit met by odd-sounding Dad on end of phone."
"English","I tried to get Dad to explain but got nowhere."
"English","What is going on?"
"English","Is the whole world doomed to emotional trauma?"
"English","Am I to be the tragic victim of a broken home now, on top of everything else?"
"English","Monday 6 February"
"English","8st 12 (heavy internal weight completely vanished – mystery),alcohol units I (v.g."
"English","Daniel will be back in the office today."
"English","I shall be poised and cool and remember that I am a woman of substance and do not need men in order to be complete, especially not him, Am not going to message him or indeed take any notice of him whatsoever."
"English","Daniel does not seem to be here yet."
"English","Still no sign of Daniel."
"English","9.36 a.m. Oh God, oh God."
"English","9.47 a.m. Or gone to Las Vegas and got married."
"English","think will go inspect make-up in case he does come in."
"English","10.05 a.m. Heart gave great lurch when got back from loos and saw Daniel standing with Simon from Marketing at the photocopier."
"English","The last time I saw him he was lying on his sofa looking completely nonplussed while I fastened my skirt and ranted about fuckwittage."
"English","As I passed he looked pointedly at my skirt and gave me a huge grin."
"English","Message Pending flashed up on screen."
"English","Pressed RMS to pick up message."
"English","When I looked across to his little glass office he was smiling at me in a relieved and fond sort of way."
"English","Anyway, am not going to message him back."
"English","Seems rude not to reply, though."
"English","11.00 a.m. Tee hee."
"English","Just logged on as Perpetua to give Daniel a fright."
"English","It is hard enough as it is, trying to meet"
"English","your targets without people wasting my"
"English","well and have sent it home."
"English","10 p.m. Daniel and I messaged each other all day."
"English","But there is no way I am going to sleep with him."
"English","Rang Mum and Dad again tonight but no one answered."
"English","Thursday 9 February"
"English","9st 2 (extra fat presumably caused by winter whale blubber), alcohol units 4, cigarettes 12 (v.g."
"English","9 p.m. V. much enjoying the Winter Wonderland and reminder that we are at the mercy of the elements, and should not concentrate so hard on being sophisticated or hardworking but on staying warm and watching the telly."
"English","This is the third time I have called Mum and Dad this week and got no reply."
"English","Maybe The Gables has been cut off by the snow?"
"English","9.15 p.m. Just called Mum and Dad three times in a row, letting it ring twenty times each time."
"English","Saturday 11 February"
"English","8st 13,alcohol units 4, cigarettes 18,calories1467(but burntoff by shopping)"
"English","Just got home from shopping to message from my dad asking if I would meet him for lunch on Sunday."
"English","I went hot and cold."
"English","My dad does not come up to London to have lunch with me on his own on Sundays."
"English","He has roast beef, or salmon and new potatoes, at home with Mum."
"English","I went round the corner, shaking, for some Silk Cut."
"English","Got back to find message from Mum."
"English","She too is coming to see me for lunch tomorrow, apparently."
"English","Sunday 12 February"
"English","8st13,alcoholunits5,cigarettes 23 (hardlysurprising),calories 1647."
"English","It is too Brian Rix for words."
"English","Maybe the whole lunch thing is just a parental practical joke brought on by over-exposure of my parents to Noel Edmonds, popular television and similar."
"English","Perhaps my mother will arrive with a live salmon flipping skittishly on a lead and announce that she is leaving Dad for it."
"English","The only thing which can possibly get everything back on course is a Bloody Mary."
"English","12.05 p.m. Mum called."
"English","I said, as if this were Sleepless in Seattle and lunch was going to end up with Mum and Dad holding hands and me winking cutely at the camera, wearing a luminous rucksack."
"English","As he sat down on the sofa, his face crumpled and tears began to splosh down his cheeks."
"English","This is all my fault."
"English","If I were a better person, Mum would not have stopped loving Dad.)"
"English","He collapsed in quiet sobs."
"English","Monday 13 February"
"English","9st 1, alcohol units 5, cigarettes 0 (spiritual enrichment removes need to smoke – massive breakthrough), calories 2845."
"English","It is so long since I have done anything at all for anyone else that it is a totally new and heady sensation."
"English","This is what has been missing in my life."
"English","I am having fantasies about becoming a Samaritan or Sunday school teacher, making soup for the homeless (or, as my friend Tom suggested, darling mini-bruschettas with pesto sauce), or even retraining as a doctor."
"English","Maybe going out with a doctor would be better still, both sexually and spiritually fulfilling."
"English","I even began to wonder about putting an ad in the lonely hearts column of the Lancet."
"English","I could take his messages, tell patients wanting night visits to bugger off, cook him little goat cheese souffles, then end up in a foul mood with him when I am sixty, like Mum."
"English","Why is entire world geared to make people not involved in romance feel stupid when everyone knows romance does not work anyway."
"English","Look at royal family."
"English","Look at Mum and Dad."
"English","Matter of supreme indifference to me."
"English","Tuesday 14 February"
"English","8 a.m. Oooh, goody."
"English","Wonder if the post has come yet."
"English","Maybe there will be a card from Daniel."
"English","Or a secret admirer."
"English","Or some flowers or heart-shaped chocolates."
"English","Brief moment of wild joy when discovered bunch of roses in the hallway."
"English","Rushed down and gleefully picked them up just as the downstairs-flat door opened and Vanessa came out."
"English","I said coyly, glancing down at the card."
"English","It was an Access bill."
"English","Decided to have cappuccino and chocolate croissants on way to work to cheer self up."
"English","Do not care about figure."
"English","Is no point as no one loves or cares about me."
"English","Got into the office to find Perpetua had a bunch of flowers the size of a sheep on her desk."
"English","she bellowed so that everyone could hear."
"English","I thought she was going to get hold of my earlobe and start twisting it or something."
"English","It was only then that I noticed Daniel was listening to us across the room and laughing."
"English","Wednesday 15 February"
"English","For a moment I was excited, imagining it was for me and suddenly seeing myself as a dark, mysterious object of desire to men out in the street."
"English","Then I remembered bloody Vanessa and her slinky dark bob."
"English","9 p.m. Just got back and card is still there."
"English","The card is still there."
"English","Thursday 16 February"
"English","8st12(weight lossthrough use of stairs), alcohol units 0(excellent), cigarettes5 (excellent), calories2452 (not vg."
"English","The card is still there!"
"English","Obviously it is like eating the last Milk Tray or taking the last slice of cake."
"English","We are both too polite to take it."
"English","Friday 17 February"
"English","8st 12,alcohol units1 (v.g."
"English","9 a.m. Card is still there."
"English","Could stand it no longer."
"English","Could tell Vanessa was in as cooking smells emanating from flat, so knocked on door."
"English","I handed it to her, she gave it back to me, giggling."
"English","I gave it back to her."
"English","It was rather an arty card as if it might have been bought in an art gallery."
"English","She pulled a face."
"English","I let out a high-pitched noise."
"English","10 p.m. Just called Sharon and recounted whole thing to her."
"English","She said I should not allow my head to be turned by a cheap card and should lay off Daniel as he is not a very nice person and no good will come of it."
"English","Called Tom for second opinion, particularly on whether I should call Daniel over the weekend."
"English","I reported that he had seemed flirtier than usual."
"English","Saturday 18 February"
"English","9st, alcohol units 4, cigarettes 6, calories 2746, correct lottery numbers 2 (v,g.)."
"English","At last I got to the bottom of Mum and Dad."
"English","Today she asked me to meet her for lunch at the coffee place in Dickens and Jones and I asked her outright if she was seeing someone else."
"English","There is no one else, she said, staring into the distance with a look of melancholy bravery I swear she has copied from Princess Diana."
"English","You only get one life."
"English","Sure enough, I eventually found her in the perfume department wandering round with the tall smoothie, spraying her wrists with everything in sight, holding them up to his face and laughing coquettishly."
"English","Got home to answerphone message from my brother Jamie."
"English","Called him straight away and told him everything."
"English","Get any Valentines this year, did you?"
"English","At which he burst out laughing again, then said he had to go because he and Becca were off to do Tai Chi in the park."
"English","Sunday 19 February"
"English","8st 13 (v.g."
"English","Called Mum up to confront her about the late-in-life smoothie I saw her with after our lunch."
"English","This was an immediate giveaway."
"English","My parents do not describe their friends by their Christian names."
"English","I sensed also that she had met him in Portugal, before the trouble with Dad, and he might well turn out to be not so much Julian but Julio."
"English","I confronted her with this hunch."
"English","However, there were no work videos to take round and watch, so he had to construct a further cobweb of lies."
"English","The incident culminated with the girl, convinced he was having an affair with someone else when it was only their second date, chucking him, and Simon spending the evening getting hammered alone with his spot, wearing his seventies jacket."
"English","Tuesday 21 February"
"English","Dad has taken to ringing up several times in the night, just to talk."
"English","Wednesday 22 Februar y"
"English","9st, alcohol units 2, cigarettes 9, fat units 8 (unexpectedly repulsive notion: never before faced reality of lard splurging from bottom and thighs under skin."
"English","Must revert to calorie counting tomorrow)."
"English","Tom was completely right."
"English","I made a complete arse of myself today, though."
"English","I got in the lift to go out for a sandwich and found Daniel in there with Simon from Marketing, talking about footballers being arrested for throwing matches."
"English","Simon looked at me as if I was mad and Daniel stared for a moment and then burst out laughing."
"English","Thursday 23 February"
"English","8st 13 (If only could stay under 9st."
"English","and not keep bobbing up and down like drowning corpse – drowning in fat), alcohol units 2, cigarettes 17 (pre-shag nerves – understandable), calories 775 (last-ditch attempt to get down to 8st 7 before tomorrow)."
"English","Computer messaging somehow whipped itself up to fever pitch."
"English","There we were, just him and me, caught in a massive electrical-charge field, pulled together irresistibly, like a pair of magnets."
"English","Then suddenly the lift stopped and we broke apart, panting, as Simon from Marketing got in wearing a hideous beige raincoat over his fat frame."
"English","As I left the building Daniel popped out after me and asked me to have dinner with him tomorrow."
"English","Surely it is not normal to be revising for a date as if it were a job interview?"
"English","Maybe I should have fallen for someone younger and mindless who would cook for me, wash all my clothes and agree with everything I say."
"English","Since leaving work I have nearly slipped a disc, wheezing through a step aerobics class, scratched my naked body for seven minutes with a stiff brush; cleaned the flat; filled the fudge, plucked my eyebrows, skimmed the papers and the Ultimate Sex Guide, put the washing in and waxed my own legs, since it was too late to book an appointment."
"English","Ended up kneeling on a towel trying to pull off a wax strip firmly stuck to the back of my calf while watching Newsnight in an effort to drum up some interesting opinions about things."
"English","My back hurts, my head aches and my legs are bright red and covered in lumps of wax."
"English","Wise people will say Daniel should like me just as I am, but I am a child of Cosmopolitan culture, have been traumatized by super-models and too many quizzes and know that neither my personality nor my body is up to it if left to its own devices."
"English","I am going to cancel and spend the evening eating doughnuts in a cardigan with egg on it."
"English","Saturday 25 February"
"English","8st 10 (miracle: sex proved indeed to be best form of exercise),alcohol units 0, cigarettes 0, calories 200 (at last have foundthe secret of not eating: simply replace food with sex)."
"English","6 p.m. Oh joy."
"English","Have spent the day in a state I can only describe as shag-drunkenness, mooning about the flat, smiling, picking things up and putting them down again."
"English","It was so lovely."
"English","But as the rosy clouds begin to disperse, I begin to feel alarm."
"English","No plans were made."
"English","Suddenly I realize I am waiting for the phone again."
"English","How can it be that the situation between the sexes after a first night remains so agonizingly imbalanced?"
"English","Feel as if I have just sat an exam and must wait for my results."
"English","11 p.m. Oh God."
"English","Are we going out now, or what?"
"English","Maybe their generation is just better at getting on with relationships?"
"English","Sunday 26 February"
